state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-12-30,"528,299",74.62,"708,002","128,919",18.29,"68,440",79.28,"86,326"
AL,2020-12-30,"11,070",78.33,"14,133","2,922",20.68,"1,363",93.48,"1,458"
AZ,2020-12-30,"11,292",80.12,"14,093","4,538",32.25,"1,640",76.39,"2,147"
CT,2020-12-30,"6,096",78.31,"7,784","1,327",17.05,661,61.49,"1,075"
DC,2020-12-30,"2,352",81.27,"2,894",290,10.02,277,82.2,337
GA,2020-12-30,"16,594",86.77,"19,125","4,894",25.59,"2,415",90.86,"2,658"
ID,2020-12-30,"1,794",57.67,"3,111",332,10.67,201,67.68,297
IN,2020-12-30,"10,987",66.91,"16,420","2,820",17.17,"1,697",79.45,"2,136"
LA,2020-12-30,"8,991",71.28,"12,613","1,544",12.46,"1,414",78.99,"1,790"
MD,2020-12-30,"8,099",84.4,"9,596","2,086",21.74,"1,071",78.66,"1,362"
AK,2020-12-30,804,55.72,"1,443",72,4.99,82,64.57,127
AR,2020-12-30,"5,683",75.02,"7,575","1,183",15.62,775,75.24,"1,030"
CA,2020-12-30,"51,762",80.1,"64,621","21,232",32.86,"7,428",88.53,"8,390"
CO,2020-12-30,"6,794",66.52,"10,213","1,205",11.8,903,66.74,"1,353"
DE,2020-12-30,"1,871",73.2,"2,556",470,18.39,156,81.25,192
FL,2020-12-30,"41,705",80.35,"51,903","6,912",13.57,"5,292",83.31,"6,352"
HI,2020-12-30,"1,710",69.09,"2,475",102,4.12,146,66.06,221
IA,2020-12-30,"4,842",62.62,"7,732",597,7.83,476,69.39,686
IL,2020-12-30,"20,019",68.79,"29,100","4,200",14.43,"2,324",66.34,"3,503"
KS,2020-12-30,"4,786",61.12,"7,831","1,014",12.95,654,80.94,808
KY,2020-12-30,"7,513",61.23,"12,271","1,684",13.72,"1,176",66.86,"1,759"
MA,2020-12-30,"11,940",78.84,"15,145","2,071",13.67,"1,117",75.12,"1,487"
ME,2020-12-30,"1,954",68.61,"2,848",216,7.58,236,74.21,318
MI,2020-12-30,"15,155",73.82,"20,528","2,705",13.17,"2,025",76.95,"2,631"
MN,2020-12-30,"7,168",73.5,"9,753","1,040",10.66,704,73.97,951
MO,2020-12-30,"11,584",75.68,"15,306","2,681",17.52,"1,556",85.03,"1,830"
MS,2020-12-30,"5,377",66.95,"8,031","1,425",17.74,730,83.81,871
MT,2020-12-30,"1,756",62.27,"2,820",205,7.27,148,66.97,221
ND,2020-12-30,"1,435",70.79,"2,027",211,10.41,120,56.87,211
NH,2020-12-30,"1,935",69.81,"2,772",326,11.76,175,61.62,284
NJ,2020-12-30,"14,913",75.19,"19,835","3,880",19.56,"1,678",68.86,"2,437"
NV,2020-12-30,"6,084",82.28,"7,394","1,881",26.05,823,87.0,946
NY,2020-12-30,"35,125",71.51,"49,121","8,696",17.7,"3,662",68.12,"5,376"
OK,2020-12-30,"7,100",73.77,"9,625","2,028",21.42,959,89.13,"1,076"
PA,2020-12-30,"25,237",78.99,"31,951","6,624",20.96,"3,266",81.77,"3,994"
SC,2020-12-30,"8,270",85.53,"9,669","1,991",20.59,"1,071",84.53,"1,267"
TN,2020-12-30,"12,325",74.54,"16,535","3,300",20.57,"1,902",88.57,"2,148"
UT,2020-12-30,"3,077",58.61,"5,250",560,10.67,414,66.24,625
VA,2020-12-30,"11,997",73.13,"16,404","2,623",15.99,"1,446",74.23,"1,948"
NC,2020-12-30,"17,042",79.07,"21,554","3,480",16.24,"2,110",85.32,"2,473"
NE,2020-12-30,"3,298",68.35,"4,825",563,11.87,399,69.76,572
NM,2020-12-30,"2,797",75.47,"3,706",758,20.46,407,96.9,420
OH,2020-12-30,"20,482",71.87,"28,498","4,794",16.86,"3,104",74.8,"4,149"
OR,2020-12-30,"4,825",73.18,"6,593",633,9.6,529,67.99,778
RI,2020-12-30,"2,148",90.71,"2,368",468,19.76,145,90.06,161
SD,2020-12-30,"1,419",60.36,"2,351",288,12.25,147,61.76,238
TX,2020-12-30,"47,301",75.1,"62,982","12,710",20.24,"6,862",92.1,"7,451"
VT,2020-12-30,729,62.1,"1,174",37,3.15,64,62.14,103
WA,2020-12-30,"8,707",69.78,"12,477","1,122",8.99,959,72.51,"1,322"
WI,2020-12-30,"7,826",62.54,"12,515","1,190",9.72,967,59.62,"1,622"
WV,2020-12-30,"3,883",77.17,"5,032",864,17.17,509,83.72,608
WY,2020-12-30,647,45.47,"1,423",125,8.86,55,43.31,127
