state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-02-01,"497,151",70.61,"703,632","96,111",13.72,"64,831",74.53,"86,913"
AK,2021-02-01,811,55.21,"1,469",44,3.0,77,63.11,122
AL,2021-02-01,"10,388",74.58,"13,928","2,021",14.51,"1,431",88.61,"1,615"
AR,2021-02-01,"4,883",64.65,"7,553",840,11.13,746,69.18,"1,014"
AZ,2021-02-01,"10,353",72.72,"14,236","3,449",24.27,"1,569",69.95,"2,243"
CA,2021-02-01,"48,401",78.27,"61,836","14,827",23.98,"7,223",87.54,"8,251"
CO,2021-02-01,"6,385",63.11,"10,117",618,6.11,798,60.45,"1,320"
CT,2021-02-01,"5,780",74.06,"7,805","1,038",13.3,613,58.49,"1,048"
DC,2021-02-01,"2,246",75.42,"2,978",291,9.77,258,82.69,312
DE,2021-02-01,"1,795",69.84,"2,570",332,12.92,155,81.58,190
FL,2021-02-01,"40,998",78.73,"52,075","6,720",13.16,"5,224",81.19,"6,434"
GA,2021-02-01,"15,644",80.93,"19,330","4,430",22.92,"2,496",88.17,"2,824"
HI,2021-02-01,"1,701",68.48,"2,484",94,3.78,145,65.32,222
IA,2021-02-01,"4,446",57.94,"7,674",388,5.12,449,66.72,673
ID,2021-02-01,"1,744",54.47,"3,202",203,6.34,190,62.71,303
IL,2021-02-01,"18,240",63.05,"28,928","2,534",8.76,"2,108",60.37,"3,492"
IN,2021-02-01,"9,848",59.98,"16,419","1,589",9.68,"1,393",65.12,"2,139"
KS,2021-02-01,"4,264",54.76,"7,786",622,7.98,550,69.62,790
KY,2021-02-01,"7,085",57.6,"12,301","1,350",10.97,"1,183",67.18,"1,761"
LA,2021-02-01,"8,768",69.11,"12,687","1,245",10.0,"1,345",74.35,"1,809"
MA,2021-02-01,"12,960",76.27,"16,992","1,448",8.52,"1,123",76.03,"1,477"
MD,2021-02-01,"7,539",78.98,"9,545","1,699",17.8,"1,015",78.2,"1,298"
ME,2021-02-01,"1,919",67.14,"2,858",195,6.82,238,72.34,329
MI,2021-02-01,"14,481",69.84,"20,734","1,398",6.74,"1,893",71.79,"2,637"
MN,2021-02-01,"6,384",69.35,"9,206",460,5.0,609,70.08,869
MT,2021-02-01,"1,659",58.03,"2,859",129,4.51,125,58.96,212
MO,2021-02-01,"10,430",72.35,"14,416","1,635",11.34,"1,382",80.45,"1,716"
MS,2021-02-01,"4,966",63.72,"7,793",950,12.19,702,82.49,851
NC,2021-02-01,"15,962",73.58,"21,692","2,795",12.97,"2,013",80.46,"2,502"
ND,2021-02-01,"1,266",64.13,"1,974",119,6.03,118,59.9,197
NE,2021-02-01,"2,570",63.63,"4,040",329,8.31,339,60.54,560
NH,2021-02-01,"1,814",65.3,"2,778",193,6.95,167,59.22,282
NJ,2021-02-01,"13,862",66.74,"20,770","2,952",14.21,"1,455",49.47,"2,941"
NM,2021-02-01,"2,654",72.63,"3,654",522,14.29,360,79.12,455
NV,2021-02-01,"5,499",71.9,"7,648","1,162",15.55,725,78.72,921
NY,2021-02-01,"34,670",71.57,"48,433","8,850",18.27,"3,838",69.79,"5,499"
OH,2021-02-01,"19,283",66.55,"28,974","2,889",9.99,"2,797",67.51,"4,143"
OK,2021-02-01,"6,318",65.9,"9,586","1,328",14.07,901,85.57,"1,053"
OR,2021-02-01,"4,612",69.55,"6,632",383,5.78,501,64.23,780
PA,2021-02-01,"22,518",73.77,"30,525","3,875",12.84,"2,773",74.65,"3,714"
RI,2021-02-01,"2,024",85.94,"2,010",372,18.49,130,83.65,156
SC,2021-02-01,"7,888",79.92,"9,870","1,735",17.58,"1,025",76.61,"1,338"
SD,2021-02-01,"1,272",53.6,"2,373",126,5.31,118,51.75,228
TN,2021-02-01,"11,597",65.32,"17,754","1,559",9.02,"1,716",72.07,"2,381"
TX,2021-02-01,"44,486",72.57,"61,302","11,406",18.65,"6,648",88.69,"7,496"
UT,2021-02-01,"2,946",55.52,"5,306",472,8.9,384,61.44,625
VA,2021-02-01,"11,488",69.85,"16,446","2,329",14.16,"1,403",71.8,"1,954"
VT,2021-02-01,694,58.71,"1,182",68,5.75,61,64.21,95
WA,2021-02-01,"8,371",69.27,"12,084",795,6.58,958,73.5,"1,304"
WV,2021-02-01,"3,604",72.96,"4,940",484,9.8,472,76.25,619
WY,2021-02-01,481,33.5,"1,436",59,4.14,46,36.51,126
WI,2021-02-01,"7,154",57.49,"12,443",760,6.25,843,52.92,"1,593"
