state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-12-07,"504,153",71.95,"700,959","107,873",15.46,"64,840",76.3,"84,990"
AK,2020-12-07,847,58.45,"1,449",157,10.84,90,72.0,125
AL,2020-12-07,"10,495",74.1,"14,163","2,096",14.8,"1,314",89.15,"1,474"
AR,2020-12-07,"5,219",70.23,"7,431","1,054",14.18,826,81.62,"1,012"
AZ,2020-12-07,"10,061",74.15,"13,568","3,164",23.36,"1,406",69.64,"2,019"
CA,2020-12-07,"46,241",74.77,"61,841","11,411",18.48,"5,857",79.27,"7,389"
CO,2020-12-07,"6,554",64.37,"10,181","1,755",17.24,991,66.87,"1,482"
CT,2020-12-07,"5,808",71.49,"8,124","1,388",17.09,611,55.34,"1,104"
DC,2020-12-07,"2,318",80.15,"2,892",255,8.82,269,82.77,325
DE,2020-12-07,"1,717",68.35,"2,512",398,15.84,151,83.89,180
FL,2020-12-07,"39,652",76.91,"51,554","5,052",9.97,"4,954",79.47,"6,234"
GA,2020-12-07,"15,052",79.78,"18,866","2,927",15.51,"2,279",86.2,"2,644"
HI,2020-12-07,"1,673",67.27,"2,487",59,2.37,147,63.64,231
IA,2020-12-07,"4,678",58.72,"7,967",902,11.47,489,71.49,684
ID,2020-12-07,"1,761",56.95,"3,092",442,14.29,193,67.96,284
IL,2020-12-07,"19,537",66.79,"29,250","5,230",17.88,"2,409",65.28,"3,690"
IN,2020-12-07,"10,807",66.58,"16,231","3,045",18.76,"1,711",78.88,"2,169"
KS,2020-12-07,"4,483",57.56,"7,788","1,164",14.95,657,81.61,805
KY,2020-12-07,"8,170",68.84,"11,868","1,786",15.05,"1,151",73.83,"1,559"
LA,2020-12-07,"8,555",68.08,"12,567","1,354",10.97,"1,350",75.67,"1,784"
MA,2020-12-07,"11,428",71.95,"15,884","1,395",8.78,"1,043",64.22,"1,624"
MD,2020-12-07,"7,681",80.92,"9,492","1,912",20.14,"1,011",79.17,"1,277"
ME,2020-12-07,"1,900",66.36,"2,863",213,7.44,231,73.1,316
MI,2020-12-07,"15,341",75.06,"20,438","4,071",19.92,"2,050",80.46,"2,548"
MN,2020-12-07,"7,033",73.49,"9,570","1,823",19.05,747,77.01,970
MS,2020-12-07,"5,006",62.84,"7,966","1,155",14.53,685,81.45,841
MT,2020-12-07,"1,859",65.05,"2,858",388,13.58,159,70.98,224
NJ,2020-12-07,"14,698",75.68,"19,420","3,590",18.49,"1,579",67.16,"2,351"
NV,2020-12-07,"5,881",79.79,"7,371","1,793",24.89,784,85.22,920
MO,2020-12-07,"10,846",77.47,"14,001","2,572",18.37,"1,538",87.24,"1,763"
NC,2020-12-07,"16,129",75.48,"21,368","2,588",12.18,"1,978",81.1,"2,439"
ND,2020-12-07,"1,447",72.13,"2,006",391,19.8,124,86.11,144
NE,2020-12-07,"3,190",67.8,"4,705",829,17.92,407,70.66,576
NH,2020-12-07,"1,862",67.2,"2,771",228,8.23,177,62.77,282
NM,2020-12-07,"2,856",75.48,"3,784",863,22.81,412,100.98,408
NY,2020-12-07,"34,241",72.97,"46,923","5,707",12.16,"3,424",58.6,"5,843"
OH,2020-12-07,"19,996",68.24,"29,301","5,472",18.71,"3,108",76.76,"4,049"
OK,2020-12-07,"6,245",66.78,"9,351","1,608",17.46,956,88.93,"1,075"
OR,2020-12-07,"4,592",72.53,"6,331",666,10.52,492,65.51,751
PA,2020-12-07,"24,082",74.64,"32,263","6,425",20.14,"3,274",80.34,"4,075"
RI,2020-12-07,"1,736",87.68,"1,980",459,23.18,132,83.54,158
SC,2020-12-07,"7,561",78.33,"9,653","1,133",11.74,990,78.26,"1,265"
SD,2020-12-07,"1,437",61.15,"2,350",458,19.49,170,73.28,232
TN,2020-12-07,"12,238",74.3,"16,472","2,724",17.03,"1,866",85.67,"2,178"
TX,2020-12-07,"45,886",72.94,"63,186","9,467",15.02,"6,310",89.06,"7,091"
UT,2020-12-07,"2,844",54.56,"5,213",574,11.01,474,73.72,643
VA,2020-12-07,"11,531",67.36,"17,118","1,876",10.96,"1,384",68.04,"2,034"
VT,2020-12-07,623,53.07,"1,174",34,2.9,61,58.65,104
WA,2020-12-07,"8,186",65.34,"12,528","1,130",9.02,873,67.99,"1,284"
WV,2020-12-07,"3,643",72.27,"5,041",691,13.71,490,80.33,610
WY,2020-12-07,613,43.2,"1,419",207,14.7,62,49.21,126
WI,2020-12-07,"7,914",64.2,"12,328","1,792",14.86,994,62.32,"1,595"
