state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-02-03,"524,995",73.97,"709,455","92,537",13.1,"66,340",76.27,"86,976"
AK,2021-02-03,848,57.49,"1,475",42,2.85,89,71.2,125
AL,2021-02-03,"10,944",78.35,"13,968","1,843",13.19,"1,458",91.07,"1,601"
AR,2021-02-03,"5,549",72.1,"7,696",812,10.55,802,77.26,"1,038"
AZ,2021-02-03,"10,862",74.53,"14,574","3,249",22.33,"1,621",71.57,"2,265"
CA,2021-02-03,"49,909",79.47,"62,799","13,971",22.25,"7,075",87.09,"8,124"
CO,2021-02-03,"6,787",67.13,"10,110",616,6.09,834,63.47,"1,314"
CT,2021-02-03,"6,234",80.1,"7,783",977,12.55,648,61.6,"1,052"
DC,2021-02-03,"2,408",80.51,"2,991",322,10.77,274,82.28,333
DE,2021-02-03,"1,915",73.48,"2,606",321,12.32,147,79.03,186
FL,2021-02-03,"42,915",81.82,"52,452","6,364",12.37,"5,384",83.56,"6,443"
GA,2021-02-03,"16,115",82.8,"19,462","4,263",21.9,"2,487",87.69,"2,836"
HI,2021-02-03,"1,711",68.77,"2,488",86,3.46,151,67.71,223
IA,2021-02-03,"4,868",63.48,"7,669",370,4.89,470,71.32,659
ID,2021-02-03,"1,888",58.36,"3,235",207,6.4,195,65.88,296
IL,2021-02-03,"19,574",67.53,"28,986","2,434",8.4,"2,196",62.9,"3,491"
IN,2021-02-03,"10,613",64.08,"16,561","1,495",9.03,"1,509",69.51,"2,171"
KS,2021-02-03,"4,632",58.89,"7,865",581,7.39,569,71.48,796
KY,2021-02-03,"7,563",62.93,"12,019","1,319",10.97,"1,206",68.52,"1,760"
LA,2021-02-03,"8,969",70.9,"12,651","1,121",9.03,"1,310",72.98,"1,795"
MA,2021-02-03,"13,501",79.02,"17,085","1,425",8.34,"1,157",78.98,"1,465"
MD,2021-02-03,"7,869",80.81,"9,738","1,678",17.23,"1,061",79.59,"1,333"
ME,2021-02-03,"2,009",70.22,"2,861",181,6.33,257,77.18,333
MI,2021-02-03,"15,604",74.4,"20,973","1,363",6.5,"1,962",74.63,"2,629"
MN,2021-02-03,"7,066",74.68,"9,462",467,4.94,620,70.78,876
MS,2021-02-03,"5,174",66.11,"7,826",879,11.23,692,82.68,837
MO,2021-02-03,"11,338",76.69,"14,785","1,604",10.85,"1,412",81.24,"1,738"
MT,2021-02-03,"1,756",61.46,"2,857",119,4.17,137,64.02,214
NC,2021-02-03,"16,938",77.43,"21,983","2,631",12.04,"2,088",83.15,"2,511"
ND,2021-02-03,"1,375",68.1,"2,019",115,5.7,117,57.35,204
NE,2021-02-03,"2,726",67.24,"4,054",298,7.5,351,62.12,565
NH,2021-02-03,"2,036",73.26,"2,779",190,6.84,174,61.7,282
NJ,2021-02-03,"14,616",70.28,"20,797","3,035",14.59,"1,510",51.47,"2,934"
NM,2021-02-03,"2,689",74.59,"3,605",512,14.2,368,81.6,451
NV,2021-02-03,"5,773",75.33,"7,664","1,089",14.56,706,77.24,914
NY,2021-02-03,"36,017",74.54,"48,307","8,864",18.35,"3,933",71.67,"5,488"
OH,2021-02-03,"20,998",72.17,"29,097","2,833",9.76,"2,924",71.14,"4,110"
OK,2021-02-03,"6,756",69.64,"9,702","1,259",13.17,875,82.78,"1,057"
OR,2021-02-03,"4,871",72.49,"6,720",381,5.67,524,65.83,796
PA,2021-02-03,"23,929",77.43,"30,905","3,750",12.27,"2,881",78.1,"3,689"
RI,2021-02-03,"2,157",89.55,"2,077",355,17.09,140,89.74,156
SC,2021-02-03,"8,279",83.17,"9,954","1,598",16.05,"1,052",78.8,"1,335"
SD,2021-02-03,"1,392",58.66,"2,373",123,5.18,122,52.59,232
TN,2021-02-03,"11,784",66.39,"17,750","1,504",8.71,"1,703",71.49,"2,382"
TX,2021-02-03,"47,096",75.37,"62,489","11,112",17.83,"6,829",89.64,"7,618"
UT,2021-02-03,"3,148",59.35,"5,304",436,8.22,387,63.65,608
VA,2021-02-03,"12,027",73.13,"16,445","2,309",14.04,"1,448",74.33,"1,948"
VT,2021-02-03,719,60.83,"1,182",58,4.91,74,74.75,99
WA,2021-02-03,"8,792",71.33,"12,326",760,6.17,988,74.96,"1,318"
WV,2021-02-03,"3,932",78.55,"5,006",431,8.61,465,75.12,619
WY,2021-02-03,565,39.35,"1,436",53,3.72,43,33.86,127
WI,2021-02-03,"7,759",62.05,"12,504",732,5.98,915,57.19,"1,600"
