state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-03-06,"488,250",69.71,"700,417","43,303",6.21,"59,532",70.07,"84,876"
AK,2021-03-06,817,55.17,"1,481",39,2.63,84,64.12,131
AL,2021-03-06,"9,679",70.03,"13,822",598,4.33,"1,277",80.57,"1,585"
AR,2021-03-06,"5,107",67.12,"7,609",382,5.01,732,67.43,"1,027"
AZ,2021-03-06,"9,602",68.26,"14,067",952,6.78,"1,205",56.31,"2,140"
CA,2021-03-06,"43,300",73.42,"58,973","4,230",7.17,"5,320",74.18,"7,172"
CO,2021-03-06,"6,302",62.24,"10,125",398,3.94,786,62.88,"1,250"
CT,2021-03-06,"5,992",76.94,"7,788",477,6.12,585,55.93,"1,046"
DC,2021-03-06,"2,185",79.8,"2,738",206,7.52,279,84.04,332
DE,2021-03-06,"1,755",67.58,"2,597",105,4.04,168,88.42,190
FL,2021-03-06,"40,373",77.09,"52,368","3,768",7.33,"5,028",78.15,"6,434"
GA,2021-03-06,"14,436",74.55,"19,364","1,974",10.2,"2,241",81.41,"2,743"
HI,2021-03-06,"1,623",65.58,"2,475",36,1.45,135,58.7,230
IA,2021-03-06,"4,401",57.23,"7,690",173,2.28,432,63.86,664
ID,2021-03-06,"1,627",50.64,"3,213",130,4.05,189,64.29,294
IL,2021-03-06,"18,510",64.34,"28,769","1,213",4.22,"2,042",59.17,"3,451"
IN,2021-03-06,"9,948",58.89,"16,892",592,3.5,"1,415",65.09,"2,174"
KS,2021-03-06,"4,245",54.33,"7,813",254,3.25,540,68.44,789
KY,2021-03-06,"7,122",57.84,"12,313",577,4.69,"1,116",63.37,"1,761"
LA,2021-03-06,"8,261",66.48,"12,426",478,3.92,"1,188",67.12,"1,770"
MA,2021-03-06,"13,050",77.97,"16,738",610,3.64,"1,048",74.19,"1,412"
MD,2021-03-06,"7,725",77.83,"9,925","1,025",10.33,986,73.86,"1,335"
ME,2021-03-06,"1,910",66.95,"2,853",93,3.26,224,67.82,331
MI,2021-03-06,"15,259",73.11,"20,872",876,4.2,"1,932",72.53,"2,663"
MN,2021-03-06,"6,765",72.42,"9,341",287,3.07,648,71.52,906
MO,2021-03-06,"10,779",74.48,"14,473",914,6.32,"1,308",77.72,"1,681"
MS,2021-03-06,"4,801",62.18,"7,721",395,5.12,600,73.35,818
MT,2021-03-06,"1,698",59.5,"2,854",69,2.42,118,51.53,229
NC,2021-03-06,"15,536",71.35,"21,774","1,142",5.27,"1,819",73.27,"2,483"
ND,2021-03-06,"1,362",67.77,"2,009",75,3.73,115,58.08,198
NE,2021-03-06,"2,548",63.68,"4,001",157,4.0,352,62.5,564
NH,2021-03-06,"1,892",67.96,"2,784",96,3.45,164,58.16,282
NJ,2021-03-06,"13,890",66.77,"20,802","1,862",8.95,"1,424",47.17,"3,018"
NM,2021-03-06,"2,530",70.08,"3,610",161,4.46,338,77.28,438
NV,2021-03-06,"5,171",68.35,"7,565",398,5.38,595,68.47,869
NY,2021-03-06,"34,111",71.13,"47,946","5,652",11.79,"3,692",67.43,"5,475"
OH,2021-03-06,"19,578",68.12,"28,740","1,209",4.22,"2,672",64.95,"4,113"
OK,2021-03-06,"6,258",65.23,"9,594",508,5.36,788,75.19,"1,048"
OR,2021-03-06,"4,881",72.42,"6,740",215,3.19,493,62.88,784
PA,2021-03-06,"22,434",75.33,"29,782","1,796",6.1,"2,726",75.91,"3,591"
RI,2021-03-06,"2,002",92.64,"2,161",179,8.28,134,86.45,155
SC,2021-03-06,"7,375",74.8,"9,860",606,6.15,905,69.4,"1,304"
SD,2021-03-06,"1,229",51.99,"2,364",68,2.86,112,49.56,227
TN,2021-03-06,"11,550",65.61,"17,605",772,4.51,"1,620",68.59,"2,362"
TX,2021-03-06,"44,306",72.09,"61,457","5,291",8.63,"6,080",85.32,"7,126"
UT,2021-03-06,"3,030",57.15,"5,302",195,3.68,374,61.72,606
VA,2021-03-06,"10,872",66.46,"16,358","1,131",6.91,"1,263",65.24,"1,936"
VT,2021-03-06,742,62.68,"1,183",27,2.28,68,71.58,95
WA,2021-03-06,"8,312",66.12,"12,571",379,3.01,882,66.67,"1,323"
WV,2021-03-06,"3,699",73.18,"5,055",200,3.96,436,70.1,622
WY,2021-03-06,532,37.05,"1,436",26,1.82,37,29.13,127
WI,2021-03-06,"7,140",57.49,"12,419",308,2.53,818,52.0,"1,572"
