state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-01-20,"536,206",75.57,"709,267","122,783",17.39,"69,771",78.98,"88,283"
AL,2021-01-20,"11,119",79.69,"13,953","2,669",19.13,"1,554",95.69,"1,624"
AZ,2021-01-20,"11,475",77.31,"14,842","4,600",31.05,"1,683",73.72,"2,283"
CA,2021-01-20,"52,878",82.11,"64,396","20,228",31.41,"7,942",91.76,"8,655"
CT,2021-01-20,"6,319",81.39,"7,764","1,249",16.09,646,61.52,"1,050"
DC,2021-01-20,"2,413",80.27,"3,006",368,12.24,269,81.27,331
GA,2021-01-20,"16,585",85.39,"19,423","5,754",29.62,"2,588",93.0,"2,773"
ID,2021-01-20,"1,802",58.74,"3,068",234,7.63,201,68.14,295
IN,2021-01-20,"10,767",65.68,"16,392","2,257",13.77,"1,582",73.41,"2,155"
KS,2021-01-20,"4,746",60.72,"7,816",793,10.15,625,78.03,801
LA,2021-01-20,"9,458",73.99,"12,782","1,554",12.38,"1,429",77.83,"1,836"
MD,2021-01-20,"8,158",84.62,"9,641","2,109",21.88,"1,112",84.56,"1,315"
MI,2021-01-20,"15,519",75.23,"20,629","1,950",9.45,"2,014",77.11,"2,612"
AK,2021-01-20,805,55.33,"1,455",50,3.44,79,63.71,124
AR,2021-01-20,"5,637",73.11,"7,710","1,153",15.01,814,73.84,"1,055"
CO,2021-01-20,"6,608",65.0,"10,166",825,8.12,832,62.56,"1,330"
DE,2021-01-20,"1,922",73.92,"2,600",457,17.58,157,81.77,192
FL,2021-01-20,"43,264",82.15,"52,665","7,760",15.01,"5,373",82.28,"6,530"
HI,2021-01-20,"1,744",70.18,"2,485",119,4.79,143,63.56,225
IA,2021-01-20,"4,970",64.5,"7,705",525,6.91,458,68.46,669
IL,2021-01-20,"19,949",68.51,"29,119","3,352",11.51,"2,258",64.96,"3,476"
KY,2021-01-20,"7,906",64.43,"12,270","1,632",13.3,"1,222",69.35,"1,762"
MA,2021-01-20,"12,309",80.78,"15,238","1,917",12.58,"1,220",82.32,"1,482"
ME,2021-01-20,"2,052",71.52,"2,869",228,7.95,263,77.81,338
MN,2021-01-20,"7,097",72.58,"9,778",661,6.76,660,73.74,895
MO,2021-01-20,"11,825",78.83,"15,001","2,198",14.65,"1,487",83.95,"1,769"
MS,2021-01-20,"5,255",66.74,"7,874","1,190",15.11,731,84.8,862
MT,2021-01-20,"1,828",63.98,"2,857",153,5.36,136,63.85,213
NC,2021-01-20,"17,147",79.08,"21,682","3,776",17.52,"2,126",85.21,"2,495"
ND,2021-01-20,"1,401",68.58,"2,043",148,7.24,117,58.21,201
NE,2021-01-20,"2,684",69.0,"3,890",455,11.94,381,67.43,565
NH,2021-01-20,"2,003",72.02,"2,781",240,8.63,179,63.25,283
NJ,2021-01-20,"15,381",72.83,"21,119","3,532",16.72,"1,635",54.98,"2,974"
NM,2021-01-20,"2,738",75.59,"3,622",680,18.77,389,81.21,479
NV,2021-01-20,"5,829",76.37,"7,633","1,606",21.59,783,82.16,953
NY,2021-01-20,"37,019",76.02,"48,699","9,877",20.28,"3,920",72.06,"5,440"
OH,2021-01-20,"20,956",73.3,"28,590","3,881",13.6,"3,094",75.95,"4,074"
OK,2021-01-20,"7,192",74.32,"9,677","1,780",18.69,958,88.87,"1,078"
OR,2021-01-20,"4,850",72.74,"6,668",445,6.67,495,62.82,788
PA,2021-01-20,"24,292",79.87,"30,413","4,831",16.07,"3,096",80.5,"3,846"
RI,2021-01-20,"2,164",89.33,"2,090",418,20.0,147,91.88,160
SC,2021-01-20,"8,573",85.53,"10,023","2,273",22.68,"1,128",82.7,"1,364"
SD,2021-01-20,"1,443",60.76,"2,375",186,7.83,144,60.5,238
TN,2021-01-20,"12,611",70.8,"17,812","2,560",14.77,"1,854",77.7,"2,386"
UT,2021-01-20,"3,069",58.54,"5,243",584,11.14,448,71.34,628
VA,2021-01-20,"12,193",74.35,"16,400","2,866",17.48,"1,480",75.94,"1,949"
VT,2021-01-20,785,66.75,"1,176",45,3.83,74,76.29,97
WA,2021-01-20,"8,684",71.63,"12,123",851,7.02,969,73.58,"1,317"
TX,2021-01-20,"48,291",77.12,"62,722","14,052",22.47,"7,337",92.06,"7,970"
WI,2021-01-20,"7,916",62.95,"12,575",953,7.75,968,60.42,"1,602"
WV,2021-01-20,"3,964",79.82,"4,966",669,13.47,517,83.79,617
WY,2021-01-20,611,42.4,"1,441",90,6.3,54,42.52,127
