state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-01-04,"508,681",72.34,"703,173","134,083",19.16,"67,750",78.16,"86,678"
AL,2021-01-04,"10,880",77.55,"14,030","3,192",22.75,"1,582",94.79,"1,669"
AZ,2021-01-04,"10,852",77.51,"14,001","4,774",34.16,"1,672",77.8,"2,149"
CT,2021-01-04,"5,755",74.31,"7,745","1,325",17.11,631,58.64,"1,076"
DC,2021-01-04,"2,260",78.88,"2,865",324,11.31,252,80.25,314
GA,2021-01-04,"16,285",85.54,"19,037","5,458",28.67,"2,504",93.96,"2,665"
ID,2021-01-04,"1,694",55.29,"3,064",353,11.52,194,65.76,295
IN,2021-01-04,"10,563",64.3,"16,427","2,881",17.54,"1,619",75.76,"2,137"
LA,2021-01-04,"8,546",68.05,"12,558","1,735",14.07,"1,417",79.61,"1,780"
MD,2021-01-04,"7,732",81.11,"9,533","2,001",20.99,"1,050",80.65,"1,302"
AK,2021-01-04,791,54.66,"1,447",86,5.94,82,64.57,127
AR,2021-01-04,"5,248",69.45,"7,556","1,238",16.38,793,77.22,"1,027"
CA,2021-01-04,"51,203",79.49,"64,410","22,206",34.48,"7,640",88.33,"8,650"
CO,2021-01-04,"6,243",61.64,"10,128","1,044",10.31,853,63.33,"1,347"
DE,2021-01-04,"1,812",71.28,"2,542",458,18.02,167,86.98,192
FL,2021-01-04,"41,132",79.38,"51,817","8,131",15.99,"5,271",82.9,"6,358"
HI,2021-01-04,"1,723",69.25,"2,488",128,5.14,152,67.78,225
IA,2021-01-04,"4,470",58.02,"7,703",592,7.79,466,69.97,666
IL,2021-01-04,"18,978",65.27,"29,076","3,885",13.36,"2,253",64.15,"3,512"
KS,2021-01-04,"4,489",57.67,"7,784","1,016",13.05,622,77.9,798
KY,2021-01-04,"7,103",57.89,"12,270","1,784",14.54,"1,129",64.17,"1,759"
MA,2021-01-04,"11,668",77.14,"15,126","2,222",14.69,"1,095",75.31,"1,454"
ME,2021-01-04,"1,878",66.6,"2,820",236,8.35,227,70.06,324
MI,2021-01-04,"14,330",70.74,"20,257","2,608",12.87,"1,984",75.99,"2,611"
MN,2021-01-04,"6,476",68.93,"9,395",982,10.45,611,67.74,902
MO,2021-01-04,"10,957",72.45,"15,124","2,713",17.94,"1,517",83.77,"1,811"
MS,2021-01-04,"5,130",65.31,"7,855","1,498",19.07,736,85.88,857
MT,2021-01-04,"1,718",59.74,"2,876",224,7.79,119,55.09,216
ND,2021-01-04,"1,311",64.61,"2,029",180,8.87,99,47.6,208
NH,2021-01-04,"1,880",67.82,"2,772",321,11.58,183,64.44,284
NJ,2021-01-04,"14,165",69.65,"20,338","3,858",18.97,"1,616",58.79,"2,749"
NV,2021-01-04,"5,836",78.67,"7,418","1,818",25.12,782,82.32,950
NY,2021-01-04,"34,632",71.05,"48,745","9,493",19.47,"3,697",68.6,"5,389"
OK,2021-01-04,"6,554",68.66,"9,547","2,004",21.34,948,88.68,"1,069"
PA,2021-01-04,"25,055",77.14,"32,480","6,294",19.59,"3,064",80.17,"3,822"
SC,2021-01-04,"8,065",83.96,"9,606","2,319",24.14,"1,065",84.73,"1,257"
TN,2021-01-04,"12,048",73.0,"16,505","3,405",21.26,"1,835",85.75,"2,140"
UT,2021-01-04,"2,624",49.98,"5,251",566,10.77,407,65.12,625
VA,2021-01-04,"11,853",72.13,"16,433","2,819",17.15,"1,473",74.7,"1,972"
NC,2021-01-04,"16,527",77.06,"21,447","3,707",17.39,"2,093",84.5,"2,477"
NE,2021-01-04,"3,032",63.62,"4,766",566,12.08,378,66.67,567
NM,2021-01-04,"2,687",72.64,"3,699",681,18.41,375,91.24,411
OH,2021-01-04,"19,576",69.13,"28,318","4,680",16.56,"3,068",74.07,"4,142"
OR,2021-01-04,"4,680",71.57,"6,539",566,8.65,503,66.53,756
RI,2021-01-04,"2,004",89.23,"2,246",456,20.3,137,85.62,160
SD,2021-01-04,"1,328",56.87,"2,335",260,11.13,148,62.45,237
TX,2021-01-04,"44,090",73.14,"60,283","13,626",22.67,"6,750",90.5,"7,459"
VT,2021-01-04,696,59.13,"1,177",42,3.57,57,54.81,104
WA,2021-01-04,"8,374",67.45,"12,415","1,111",8.95,963,72.57,"1,327"
WI,2021-01-04,"7,360",59.05,"12,463","1,222",10.02,900,55.9,"1,610"
WV,2021-01-04,"3,804",76.27,"4,988",866,17.36,520,84.83,613
WY,2021-01-04,583,40.54,"1,438",129,9.05,50,39.37,127
