state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-03-01,"485,956",69.44,"699,765","49,770",7.14,"58,818",69.15,"85,064"
AL,2021-03-01,"9,914",71.3,"13,905",771,5.54,"1,294",80.93,"1,599"
CT,2021-03-01,"5,778",74.2,"7,787",500,6.42,584,55.89,"1,045"
DC,2021-03-01,"2,126",80.02,"2,657",225,8.47,274,86.44,317
ID,2021-03-01,"1,682",52.25,"3,219",141,4.38,178,58.94,302
AK,2021-03-01,818,55.34,"1,479",26,1.76,80,62.89,128
AR,2021-03-01,"5,152",68.0,"7,576",478,6.31,711,70.33,"1,011"
AZ,2021-03-01,"8,965",64.57,"13,885","1,119",8.07,"1,168",54.4,"2,146"
CA,2021-03-01,"42,452",71.98,"58,976","5,250",8.9,"5,389",73.83,"7,299"
CO,2021-03-01,"6,174",60.9,"10,138",426,4.2,762,60.13,"1,268"
DE,2021-03-01,"1,714",66.8,"2,566",162,6.31,150,80.65,186
FL,2021-03-01,"40,242",76.87,"52,352","4,098",7.98,"4,955",77.42,"6,400"
GA,2021-03-01,"14,670",76.19,"19,255","2,337",12.14,"2,222",80.84,"2,748"
HI,2021-03-01,"1,644",66.16,"2,484",37,1.49,141,60.78,232
IA,2021-03-01,"4,405",57.36,"7,679",216,2.85,371,55.71,666
IL,2021-03-01,"18,369",63.63,"28,869","1,297",4.49,"1,935",55.78,"3,469"
IN,2021-03-01,"9,829",58.06,"16,929",754,4.46,"1,295",59.51,"2,176"
KS,2021-03-01,"4,387",55.91,"7,846",310,3.95,551,66.95,823
KY,2021-03-01,"6,920",56.2,"12,312",694,5.64,"1,074",60.95,"1,762"
LA,2021-03-01,"8,375",67.4,"12,426",547,4.49,"1,190",67.36,"1,766"
MA,2021-03-01,"13,070",77.68,"16,826",761,4.52,"1,003",70.73,"1,418"
MD,2021-03-01,"7,680",78.11,"9,832","1,095",11.14,962,72.44,"1,328"
ME,2021-03-01,"1,864",65.5,"2,846",83,2.92,217,66.16,328
MI,2021-03-01,"14,887",71.29,"20,883",891,4.27,"1,857",70.93,"2,618"
MN,2021-03-01,"6,532",70.64,"9,247",317,3.43,580,65.69,883
MO,2021-03-01,"10,544",73.05,"14,434",971,6.73,"1,308",79.03,"1,655"
MS,2021-03-01,"4,976",64.24,"7,746",484,6.25,654,79.18,826
MT,2021-03-01,"1,625",56.94,"2,854",61,2.14,112,51.85,216
ND,2021-03-01,"1,362",68.49,"1,988",83,4.18,105,53.57,196
NE,2021-03-01,"2,482",61.98,"4,004",180,4.59,345,61.17,564
NH,2021-03-01,"1,784",64.08,"2,784",98,3.52,150,53.19,282
NJ,2021-03-01,"14,193",68.2,"20,810","1,961",9.42,"1,340",45.39,"2,952"
NV,2021-03-01,"5,094",67.22,"7,578",470,6.35,618,69.52,889
NY,2021-03-01,"34,813",72.31,"48,132","6,261",13.01,"3,618",65.34,"5,537"
OK,2021-03-01,"6,260",65.28,"9,589",626,6.62,820,77.14,"1,063"
PA,2021-03-01,"22,246",74.32,"29,934","1,966",6.64,"2,594",72.93,"3,557"
SC,2021-03-01,"7,369",75.19,"9,800",746,7.61,944,72.45,"1,303"
TN,2021-03-01,"11,862",67.42,"17,593",935,5.46,"1,710",72.06,"2,373"
UT,2021-03-01,"2,762",52.15,"5,296",222,4.19,348,57.43,606
VA,2021-03-01,"11,288",68.88,"16,389","1,381",8.43,"1,293",66.68,"1,939"
NC,2021-03-01,"15,758",72.71,"21,672","1,340",6.22,"1,883",75.53,"2,493"
NM,2021-03-01,"2,483",68.5,"3,625",189,5.21,325,74.03,439
OH,2021-03-01,"19,064",66.34,"28,738","1,448",5.05,"2,570",62.91,"4,085"
OR,2021-03-01,"4,735",70.59,"6,708",246,3.67,483,62.16,777
RI,2021-03-01,"1,954",92.08,"2,122",197,9.28,134,84.28,159
SD,2021-03-01,"1,190",50.15,"2,373",90,3.79,109,47.19,231
TX,2021-03-01,"44,252",72.46,"61,068","6,176",10.14,"6,236",85.68,"7,279"
VT,2021-03-01,739,62.36,"1,185",29,2.45,58,62.37,93
WA,2021-03-01,"8,312",66.68,"12,466",444,3.56,887,67.87,"1,307"
WI,2021-03-01,"7,072",56.92,"12,424",362,2.98,760,48.07,"1,581"
WV,2021-03-01,"3,603",71.46,"5,042",236,4.68,428,69.37,617
WY,2021-03-01,487,33.87,"1,438",33,2.31,43,33.86,127
