state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-02-23,"512,959",72.61,"706,408","58,266",8.28,"62,813",72.91,"86,088"
AK,2021-02-23,863,58.15,"1,484",48,3.23,100,76.34,131
AL,2021-02-23,"10,440",75.29,"13,866",944,6.81,"1,360",85.86,"1,584"
AR,2021-02-23,"5,420",70.92,"7,642",610,7.98,802,76.85,"1,002"
AZ,2021-02-23,"9,935",69.74,"14,245","1,390",9.77,"1,294",59.82,"2,163"
CA,2021-02-23,"44,984",75.0,"59,975","6,715",11.2,"5,835",78.78,"7,406"
CO,2021-02-23,"7,751",64.03,"12,105",636,5.26,"1,032",64.62,"1,597"
CT,2021-02-23,"6,110",78.67,"7,767",576,7.42,597,57.07,"1,046"
DC,2021-02-23,"2,409",81.22,"2,966",247,8.33,290,89.78,323
DE,2021-02-23,"1,808",69.49,"2,602",184,7.07,153,79.69,192
FL,2021-02-23,"42,302",80.46,"52,576","4,675",9.06,"5,141",79.97,"6,429"
GA,2021-02-23,"15,176",78.3,"19,382","2,676",13.8,"2,300",83.49,"2,743"
HI,2021-02-23,"1,722",69.44,"2,480",54,2.16,130,57.27,227
IA,2021-02-23,"4,722",61.48,"7,680",245,3.23,466,70.08,665
ID,2021-02-23,"1,799",56.68,"3,174",158,4.98,184,60.73,303
IL,2021-02-23,"19,544",67.47,"28,968","1,602",5.53,"2,183",62.66,"3,484"
IN,2021-02-23,"10,390",62.55,"16,611",865,5.21,"1,375",63.66,"2,160"
KS,2021-02-23,"4,620",58.17,"7,942",381,4.8,602,71.64,841
KY,2021-02-23,"7,376",60.0,"12,294",897,7.3,"1,149",65.28,"1,760"
LA,2021-02-23,"8,678",69.88,"12,418",624,5.13,"1,279",72.51,"1,764"
MA,2021-02-23,"13,611",79.85,"17,045",842,4.94,"1,053",72.97,"1,443"
MD,2021-02-23,"7,965",80.5,"9,894","1,209",12.22,"1,004",75.6,"1,328"
ME,2021-02-23,"1,939",67.96,"2,853",86,3.0,225,68.6,328
MI,2021-02-23,"15,507",73.91,"20,981",889,4.24,"1,924",72.43,"2,656"
MN,2021-02-23,"7,011",74.08,"9,464",384,4.06,640,72.05,889
MO,2021-02-23,"11,030",75.59,"14,592","1,180",8.09,"1,368",80.63,"1,693"
MS,2021-02-23,"5,259",67.3,"7,814",578,7.4,679,80.55,843
MT,2021-02-23,"1,763",61.77,"2,854",92,3.22,119,55.87,213
NC,2021-02-23,"16,182",74.36,"21,763","1,546",7.14,"1,928",77.03,"2,503"
ND,2021-02-23,"1,450",71.72,"2,021",86,4.26,117,60.94,192
NE,2021-02-23,"2,754",68.05,"4,052",202,5.1,384,67.96,565
NH,2021-02-23,"1,912",68.68,"2,784",102,3.66,158,56.03,282
NJ,2021-02-23,"14,650",70.58,"20,756","2,110",10.17,"1,420",47.92,"2,963"
NM,2021-02-23,"2,625",71.72,"3,660",240,6.56,355,80.32,442
NV,2021-02-23,"5,400",71.16,"7,588",549,7.41,660,73.52,897
NY,2021-02-23,"35,842",74.61,"48,033","6,795",14.15,"3,819",69.22,"5,517"
OH,2021-02-23,"20,558",71.11,"28,909","1,683",5.83,"2,794",67.42,"4,144"
OK,2021-02-23,"6,754",69.96,"9,653",806,8.46,851,80.36,"1,059"
OR,2021-02-23,"4,822",71.65,"6,730",257,3.82,495,63.87,775
PA,2021-02-23,"23,544",78.05,"30,165","2,339",7.84,"2,779",76.75,"3,621"
RI,2021-02-23,"2,004",90.51,"2,214",203,9.17,131,81.37,161
SC,2021-02-23,"7,984",80.57,"9,909",913,9.21,"1,012",78.15,"1,295"
SD,2021-02-23,"1,383",58.4,"2,368",103,4.35,122,53.28,229
TN,2021-02-23,"11,930",67.98,"17,548","1,092",6.38,"1,680",71.43,"2,352"
TX,2021-02-23,"47,014",75.44,"62,317","7,352",11.83,"6,704",88.75,"7,554"
UT,2021-02-23,"2,934",55.42,"5,294",248,4.68,389,63.77,610
VA,2021-02-23,"11,659",71.11,"16,396","1,501",9.15,"1,355",69.67,"1,945"
VT,2021-02-23,768,64.81,"1,185",32,2.7,74,74.24,99
WA,2021-02-23,"8,734",69.78,"12,516",533,4.26,924,69.27,"1,334"
WV,2021-02-23,"3,814",76.05,"5,015",323,6.44,453,73.42,617
WY,2021-02-23,566,39.36,"1,438",29,2.03,45,35.43,127
WI,2021-02-23,"7,546",60.75,"12,420",436,3.58,881,55.34,"1,592"
