state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-02-24,"521,372",73.73,"707,084","56,368",8.01,"63,124",73.3,"86,120"
AK,2021-02-24,896,60.5,"1,481",45,3.04,92,72.44,127
AL,2021-02-24,"10,702",77.22,"13,860",854,6.16,"1,378",86.58,"1,591"
AR,2021-02-24,"5,567",72.78,"7,649",570,7.45,776,76.67,"1,012"
AZ,2021-02-24,"10,179",70.99,"14,339","1,348",9.41,"1,286",58.99,"2,179"
CA,2021-02-24,"45,818",75.96,"60,322","6,465",10.72,"5,909",78.62,"7,516"
CO,2021-02-24,"6,833",67.55,"10,115",472,4.67,837,64.04,"1,307"
CT,2021-02-24,"6,225",79.97,"7,784",581,7.46,602,57.55,"1,046"
DC,2021-02-24,"2,462",82.48,"2,985",259,8.68,284,82.56,344
DE,2021-02-24,"1,831",70.26,"2,606",170,6.52,157,82.63,190
FL,2021-02-24,"42,830",81.08,"52,822","4,630",8.93,"5,233",81.27,"6,439"
GA,2021-02-24,"15,376",79.23,"19,407","2,582",13.3,"2,233",81.49,"2,740"
HI,2021-02-24,"1,729",69.63,"2,483",47,1.89,138,61.06,226
IA,2021-02-24,"4,827",62.71,"7,697",223,2.94,438,65.77,666
ID,2021-02-24,"1,903",59.25,"3,212",162,5.04,189,62.38,303
IL,2021-02-24,"19,979",68.88,"29,006","1,537",5.3,"2,216",63.68,"3,480"
IN,2021-02-24,"10,769",64.64,"16,660",870,5.23,"1,385",64.03,"2,163"
KS,2021-02-24,"4,620",58.93,"7,840",351,4.48,605,74.78,809
KY,2021-02-24,"7,588",61.72,"12,294",872,7.09,"1,184",67.24,"1,760"
LA,2021-02-24,"8,827",70.77,"12,472",600,4.9,"1,282",71.26,"1,799"
MA,2021-02-24,"13,775",80.64,"17,083",795,4.66,"1,075",74.97,"1,434"
MD,2021-02-24,"8,206",81.32,"10,091","1,246",12.35,"1,017",76.99,"1,321"
ME,2021-02-24,"1,972",68.73,"2,869",94,3.29,232,70.52,329
MI,2021-02-24,"15,724",74.87,"21,002",845,4.02,"1,931",73.05,"2,644"
MN,2021-02-24,"7,252",75.97,"9,546",360,3.77,630,70.68,892
MO,2021-02-24,"11,564",78.17,"14,793","1,152",7.79,"1,400",82.14,"1,705"
MS,2021-02-24,"5,357",68.41,"7,831",561,7.16,685,80.87,847
MT,2021-02-24,"1,740",60.95,"2,854",82,2.87,122,56.48,216
NC,2021-02-24,"16,527",75.65,"21,847","1,544",7.1,"1,972",78.85,"2,501"
ND,2021-02-24,"1,451",71.16,"2,039",91,4.46,126,63.64,198
NE,2021-02-24,"2,809",69.54,"4,045",197,4.98,374,66.31,564
NH,2021-02-24,"1,960",70.4,"2,784",103,3.7,168,59.57,282
NJ,2021-02-24,"14,959",71.79,"20,836","2,088",10.02,"1,428",48.36,"2,953"
NM,2021-02-24,"2,642",72.24,"3,658",234,6.4,333,75.51,441
NV,2021-02-24,"5,440",71.86,"7,570",537,7.26,641,72.02,890
NY,2021-02-24,"36,140",75.15,"48,073","6,689",13.91,"3,747",67.77,"5,529"
OH,2021-02-24,"20,912",72.38,"28,890","1,649",5.72,"2,819",69.33,"4,066"
OK,2021-02-24,"6,857",70.88,"9,674",767,8.03,857,81.46,"1,052"
OR,2021-02-24,"4,999",73.99,"6,756",245,3.63,503,64.08,785
PA,2021-02-24,"23,994",78.74,"30,474","2,358",7.83,"2,830",78.29,"3,616"
RI,2021-02-24,"2,074",93.95,"2,208",198,8.97,142,88.2,161
SC,2021-02-24,"7,956",80.2,"9,920",873,8.8,981,75.52,"1,299"
SD,2021-02-24,"1,390",58.7,"2,368",98,4.14,124,53.68,231
TN,2021-02-24,"12,089",68.84,"17,562","1,074",6.27,"1,724",73.14,"2,357"
TX,2021-02-24,"47,907",76.16,"62,900","6,898",10.99,"6,880",88.36,"7,786"
UT,2021-02-24,"3,030",57.25,"5,293",241,4.55,393,64.32,611
VA,2021-02-24,"11,827",71.97,"16,433","1,408",8.57,"1,380",70.7,"1,952"
VT,2021-02-24,771,65.12,"1,184",31,2.62,69,69.7,99
WA,2021-02-24,"8,795",70.1,"12,547",497,3.96,933,70.2,"1,329"
WV,2021-02-24,"3,970",79.23,"5,011",324,6.47,449,72.77,617
WY,2021-02-24,588,40.89,"1,438",30,2.1,45,35.43,127
WI,2021-02-24,"7,734",62.01,"12,471",421,3.45,890,56.01,"1,589"
