state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-02-16,"500,331",71.4,"700,282","67,052",9.62,"62,447",72.75,"85,833"
AL,2021-02-16,"10,203",73.73,"13,838","1,195",8.64,"1,393",87.83,"1,586"
CT,2021-02-16,"6,084",78.42,"7,758",708,9.12,628,59.92,"1,048"
DC,2021-02-16,"2,305",78.37,"2,941",276,9.38,279,86.92,321
ID,2021-02-16,"1,741",54.46,"3,197",157,4.91,165,54.28,304
AK,2021-02-16,861,58.06,"1,483",34,2.29,78,60.94,128
AR,2021-02-16,"5,156",68.81,"7,493",630,8.41,748,73.52,"1,018"
AZ,2021-02-16,"9,746",68.81,"14,164","1,858",13.13,"1,303",60.44,"2,156"
CA,2021-02-16,"44,747",74.48,"60,078","8,785",14.62,"6,196",80.78,"7,670"
CO,2021-02-16,"6,582",65.07,"10,116",524,5.18,810,61.46,"1,318"
DE,2021-02-16,"1,858",71.43,"2,601",202,7.77,137,74.05,185
FL,2021-02-16,"42,534",80.83,"52,620","5,189",10.05,"5,188",80.96,"6,408"
GA,2021-02-16,"15,470",79.64,"19,424","3,147",16.2,"2,390",86.25,"2,771"
HI,2021-02-16,"1,785",71.72,"2,489",58,2.33,149,65.64,227
IA,2021-02-16,"4,594",59.89,"7,671",236,3.12,440,66.59,660
IL,2021-02-16,"19,254",66.6,"28,912","1,798",6.22,"2,071",59.48,"3,482"
IN,2021-02-16,"9,774",59.07,"16,546",957,5.78,"1,291",60.07,"2,149"
KS,2021-02-16,"4,317",55.15,"7,828",409,5.22,563,70.51,798
KY,2021-02-16,"7,057",57.38,"12,298",947,7.7,"1,162",66.02,"1,760"
LA,2021-02-16,"8,075",64.74,"12,472",736,6.02,"1,204",68.49,"1,758"
MA,2021-02-16,"13,231",78.1,"16,942",981,5.79,"1,086",75.47,"1,439"
MD,2021-02-16,"7,756",80.44,"9,642","1,314",13.63,"1,017",79.21,"1,284"
ME,2021-02-16,"1,913",66.59,"2,873",130,4.54,226,68.07,332
MI,2021-02-16,"15,156",72.91,"20,787",928,4.46,"1,928",71.59,"2,693"
MN,2021-02-16,"6,688",71.88,"9,305",405,4.35,602,70.06,860
MO,2021-02-16,"10,548",73.45,"14,360","1,232",8.58,"1,323",79.41,"1,666"
MS,2021-02-16,"4,774",62.09,"7,689",617,8.02,668,80.74,828
MT,2021-02-16,"1,650",58.06,"2,842",90,3.17,122,56.48,216
ND,2021-02-16,"1,383",67.69,"2,043",128,6.27,129,62.93,205
NE,2021-02-16,"2,562",63.18,"4,055",202,5.08,343,60.71,565
NH,2021-02-16,"1,942",69.76,"2,784",115,4.13,156,55.32,282
NJ,2021-02-16,"14,666",70.71,"20,741","2,425",11.69,"1,488",50.32,"2,957"
NV,2021-02-16,"5,436",71.77,"7,574",733,9.91,674,74.64,903
NY,2021-02-16,"35,208",73.28,"48,038","7,464",15.54,"3,746",65.74,"5,698"
OK,2021-02-16,"6,153",64.1,"9,599",917,9.68,850,79.22,"1,073"
PA,2021-02-16,"23,376",77.15,"30,301","2,664",8.89,"2,807",77.46,"3,624"
SC,2021-02-16,"7,874",80.13,"9,827","1,104",11.23,"1,016",78.76,"1,290"
TN,2021-02-16,"11,866",67.7,"17,527","1,202",7.04,"1,623",70.2,"2,312"
UT,2021-02-16,"2,806",52.98,"5,296",285,5.38,381,62.87,606
VA,2021-02-16,"11,672",71.11,"16,415","1,760",10.72,"1,418",72.68,"1,951"
NC,2021-02-16,"16,400",75.24,"21,798","1,925",8.94,"2,006",80.27,"2,499"
NM,2021-02-16,"2,550",71.01,"3,592",264,7.36,344,77.19,445
OH,2021-02-16,"19,865",69.03,"28,776","1,932",6.73,"2,750",67.11,"4,098"
OR,2021-02-16,"5,046",74.37,"6,785",304,4.48,538,67.0,803
RI,2021-02-16,"2,034",86.16,"2,016",243,12.05,127,78.4,162
SD,2021-02-16,"1,294",54.88,"2,358",92,3.9,125,53.88,232
TX,2021-02-16,"43,286",72.04,"60,084","8,218",13.71,"6,413",87.09,"7,364"
VT,2021-02-16,773,64.74,"1,194",42,3.52,60,60.61,99
WA,2021-02-16,"8,577",70.67,"12,137",608,5.01,925,73.24,"1,263"
WI,2021-02-16,"7,524",60.19,"12,501",486,3.98,870,54.72,"1,590"
WV,2021-02-16,"3,643",72.35,"5,035",359,7.13,444,71.73,619
WY,2021-02-16,536,37.33,"1,436",37,2.59,46,36.22,127
