state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-01-08,"534,773",75.53,"707,985","132,751",18.86,"69,625",79.18,"87,937"
AL,2021-01-08,"11,004",78.38,"14,040","3,102",22.09,"1,602",96.45,"1,661"
AZ,2021-01-08,"11,468",79.28,"14,465","4,893",33.89,"1,699",75.85,"2,240"
CA,2021-01-08,"53,175",83.13,"63,963","22,310",34.88,"7,835",89.82,"8,723"
CT,2021-01-08,"6,364",81.8,"7,780","1,286",16.53,658,62.79,"1,048"
DC,2021-01-08,"2,468",84.0,"2,938",353,12.01,276,81.9,337
DE,2021-01-08,"1,878",73.42,"2,558",469,18.33,171,88.6,193
GA,2021-01-08,"16,558",86.04,"19,244","5,886",30.59,"2,511",93.76,"2,678"
ID,2021-01-08,"1,764",57.38,"3,074",335,10.9,203,68.35,297
IN,2021-01-08,"10,938",67.26,"16,262","2,559",15.74,"1,662",78.29,"2,123"
KS,2021-01-08,"4,902",62.75,"7,812","1,027",13.15,638,78.57,812
LA,2021-01-08,"9,268",72.5,"12,784","1,783",14.2,"1,483",82.3,"1,802"
MD,2021-01-08,"8,274",85.62,"9,664","2,055",21.26,"1,097",81.08,"1,353"
MI,2021-01-08,"15,634",75.41,"20,732","2,414",11.64,"2,007",76.96,"2,608"
AK,2021-01-08,802,56.08,"1,430",78,5.45,76,63.33,120
AR,2021-01-08,"5,615",73.61,"7,628","1,294",16.96,822,78.44,"1,048"
CO,2021-01-08,"6,470",64.76,"9,991",918,9.19,815,62.36,"1,307"
FL,2021-01-08,"43,646",83.2,"52,458","8,081",15.7,"5,436",84.67,"6,420"
HI,2021-01-08,"1,774",71.76,"2,472",146,5.91,153,68.0,225
IA,2021-01-08,"4,914",63.92,"7,688",553,7.29,485,73.15,663
IL,2021-01-08,"20,393",69.98,"29,141","3,685",12.65,"2,352",67.22,"3,499"
KY,2021-01-08,"7,498",61.1,"12,272","1,783",14.53,"1,166",66.1,"1,764"
MA,2021-01-08,"12,270",80.26,"15,288","2,017",13.19,"1,165",79.09,"1,473"
ME,2021-01-08,"2,054",71.87,"2,858",253,8.85,249,76.15,327
MN,2021-01-08,"7,115",73.46,"9,685",842,8.69,690,75.33,916
MO,2021-01-08,"11,878",77.58,"15,311","2,565",16.75,"1,551",83.93,"1,848"
MS,2021-01-08,"5,227",66.01,"7,918","1,446",18.26,734,86.05,853
MT,2021-01-08,"1,885",65.7,"2,869",217,7.56,143,67.14,213
NC,2021-01-08,"16,774",78.09,"21,481","3,809",18.51,"2,109",85.38,"2,470"
ND,2021-01-08,"1,365",67.57,"2,020",162,8.02,106,52.48,202
NE,2021-01-08,"2,817",67.23,"4,190",491,11.95,385,68.38,563
NH,2021-01-08,"2,028",73.13,"2,773",278,10.03,193,68.2,283
NJ,2021-01-08,"14,896",71.35,"20,876","3,804",18.22,"1,657",59.28,"2,795"
NM,2021-01-08,"2,861",77.28,"3,702",653,17.64,400,93.68,427
NV,2021-01-08,"6,190",83.05,"7,453","1,741",23.94,795,84.39,942
NY,2021-01-08,"36,155",74.48,"48,543","9,397",19.36,"3,812",70.07,"5,440"
OH,2021-01-08,"20,890",73.24,"28,523","4,375",15.37,"3,147",76.14,"4,133"
OK,2021-01-08,"7,294",75.69,"9,637","2,026",21.38,969,88.66,"1,093"
OR,2021-01-08,"4,884",73.45,"6,649",521,7.84,521,66.03,789
PA,2021-01-08,"24,664",81.22,"30,368","5,840",19.45,"3,106",80.65,"3,851"
RI,2021-01-08,"2,104",90.65,"2,321",426,18.35,151,91.52,165
SC,2021-01-08,"8,370",85.09,"9,837","2,286",23.24,"1,100",84.49,"1,302"
SD,2021-01-08,"1,437",60.97,"2,357",225,9.55,161,67.93,237
TN,2021-01-08,"11,356",63.73,"17,818","3,284",18.94,"1,675",70.0,"2,393"
UT,2021-01-08,"3,142",59.84,"5,251",602,11.46,445,71.09,626
VA,2021-01-08,"12,135",73.85,"16,433","2,941",17.9,"1,484",75.64,"1,962"
VT,2021-01-08,734,62.31,"1,178",37,3.14,74,71.15,104
WA,2021-01-08,"8,705",69.93,"12,449","1,056",8.48,978,73.15,"1,337"
TX,2021-01-08,"48,110",76.57,"62,834","14,343",22.92,"7,170",90.6,"7,914"
WI,2021-01-08,"8,062",64.28,"12,542","1,190",9.7,952,58.91,"1,616"
WV,2021-01-08,"3,932",78.78,"4,991",798,15.99,499,81.14,615
WY,2021-01-08,632,44.07,"1,434",116,8.16,57,44.88,127
