state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-03-07,"474,062",67.97,"697,466","42,562",6.13,"57,929",68.52,"84,462"
AK,2021-03-07,816,55.14,"1,480",37,2.5,84,64.12,131
AL,2021-03-07,"9,392",67.92,"13,828",618,4.47,"1,248",78.39,"1,592"
AR,2021-03-07,"4,859",64.31,"7,555",363,4.8,731,67.78,"1,014"
AZ,2021-03-07,"9,252",66.42,"13,930",916,6.59,"1,150",54.02,"2,129"
CA,2021-03-07,"41,956",71.71,"58,506","4,172",7.13,"5,178",72.77,"7,115"
CO,2021-03-07,"6,096",59.95,"10,169",400,3.93,782,62.55,"1,251"
CT,2021-03-07,"5,797",74.64,"7,767",467,6.01,556,53.11,"1,046"
DC,2021-03-07,"2,144",79.03,"2,713",209,7.7,257,78.35,328
DE,2021-03-07,"1,686",65.39,"2,579",104,4.05,154,83.06,186
FL,2021-03-07,"39,296",75.08,"52,339","3,685",7.17,"4,831",75.56,"6,394"
GA,2021-03-07,"14,172",73.56,"19,267","1,934",10.04,"2,219",80.52,"2,746"
HI,2021-03-07,"1,597",64.73,"2,467",31,1.26,134,58.26,230
IA,2021-03-07,"4,234",55.0,"7,698",171,2.25,422,63.46,665
ID,2021-03-07,"1,612",49.81,"3,235",120,3.71,180,60.0,300
IL,2021-03-07,"17,946",62.34,"28,788","1,184",4.11,"1,930",55.79,"3,460"
IN,2021-03-07,"9,421",55.82,"16,877",612,3.63,"1,361",62.83,"2,166"
KS,2021-03-07,"4,153",53.37,"7,782",252,3.24,540,68.77,786
KY,2021-03-07,"6,820",55.38,"12,314",564,4.58,"1,082",61.44,"1,761"
LA,2021-03-07,"8,138",65.38,"12,448",471,3.85,"1,186",66.93,"1,772"
MA,2021-03-07,"12,750",76.77,"16,608",604,3.64,"1,034",72.78,"1,420"
MD,2021-03-07,"7,636",77.52,"9,850","1,042",10.58,950,72.74,"1,306"
ME,2021-03-07,"1,912",66.97,"2,855",90,3.15,228,69.09,330
MI,2021-03-07,"14,891",71.81,"20,736",915,4.41,"1,826",71.67,"2,547"
MN,2021-03-07,"6,424",70.03,"9,173",292,3.18,562,65.2,862
MO,2021-03-07,"10,272",72.38,"14,192",874,6.16,"1,227",74.85,"1,638"
MS,2021-03-07,"4,584",59.7,"7,678",384,5.0,605,74.69,810
MT,2021-03-07,"1,620",56.76,"2,854",61,2.14,105,46.46,226
NC,2021-03-07,"15,236",70.13,"21,726","1,172",5.42,"1,784",71.69,"2,488"
ND,2021-03-07,"1,333",66.57,"2,002",74,3.67,120,59.45,201
NE,2021-03-07,"2,422",60.99,"3,972",156,4.02,322,57.6,559
NH,2021-03-07,"1,831",65.77,"2,784",88,3.16,176,62.41,282
NJ,2021-03-07,"13,734",66.11,"20,773","1,837",8.84,"1,386",45.74,"3,030"
NM,2021-03-07,"2,383",66.05,"3,608",150,4.16,321,73.62,436
NV,2021-03-07,"5,104",67.39,"7,574",399,5.39,584,67.13,870
NY,2021-03-07,"33,755",70.43,"47,914","5,652",11.8,"3,677",67.26,"5,467"
OH,2021-03-07,"18,681",64.51,"28,959","1,121",3.88,"2,576",63.04,"4,086"
OK,2021-03-07,"6,042",63.1,"9,576",477,5.05,786,74.93,"1,049"
OR,2021-03-07,"4,651",69.41,"6,701",193,2.88,482,62.6,770
PA,2021-03-07,"21,852",73.81,"29,605","1,764",6.03,"2,673",72.93,"3,665"
RI,2021-03-07,"1,934",90.88,"2,128",178,8.34,131,84.52,155
SC,2021-03-07,"7,060",71.78,"9,835",598,6.08,905,69.72,"1,298"
SD,2021-03-07,"1,135",48.01,"2,364",60,2.54,105,46.26,227
TN,2021-03-07,"11,378",64.64,"17,603",752,4.39,"1,620",68.61,"2,361"
TX,2021-03-07,"42,599",70.52,"60,407","5,051",8.38,"5,892",84.12,"7,004"
UT,2021-03-07,"2,866",54.06,"5,301",196,3.71,370,60.96,607
VA,2021-03-07,"10,878",66.39,"16,384","1,136",6.93,"1,249",64.12,"1,948"
VT,2021-03-07,720,60.86,"1,183",26,2.2,61,62.24,98
WA,2021-03-07,"8,019",64.28,"12,476",377,3.02,866,65.26,"1,327"
WV,2021-03-07,"3,600",71.3,"5,049",200,3.95,445,71.66,621
WY,2021-03-07,506,35.22,"1,438",30,2.1,45,35.43,127
WI,2021-03-07,"6,867",55.31,"12,416",301,2.48,792,50.29,"1,575"
