state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-01-19,"527,424",74.61,"706,869","125,702",17.87,"69,075",78.45,"88,055"
AK,2021-01-19,771,52.81,"1,460",48,3.29,79,62.7,126
AL,2021-01-19,"11,027",78.89,"13,977","2,798",20.02,"1,540",94.77,"1,625"
AR,2021-01-19,"5,551",72.14,"7,695","1,206",15.73,811,77.31,"1,049"
AZ,2021-01-19,"11,402",76.81,"14,845","4,607",31.09,"1,681",73.25,"2,295"
CA,2021-01-19,"52,212",81.44,"64,113","20,596",32.12,"7,844",90.54,"8,664"
CO,2021-01-19,"6,475",63.75,"10,157",863,8.5,831,62.25,"1,335"
CT,2021-01-19,"6,113",78.69,"7,768","1,273",16.39,641,60.82,"1,054"
DC,2021-01-19,"2,385",79.87,"2,986",349,11.69,269,82.26,327
DE,2021-01-19,"1,910",73.72,"2,591",471,18.18,156,82.11,190
FL,2021-01-19,"42,818",81.58,"52,483","7,983",15.5,"5,373",83.64,"6,424"
GA,2021-01-19,"16,420",85.22,"19,267","5,864",30.44,"2,576",93.4,"2,758"
HI,2021-01-19,"1,709",68.88,"2,481",128,5.16,139,64.35,216
IA,2021-01-19,"4,816",62.57,"7,697",489,6.44,454,68.07,667
ID,2021-01-19,"1,831",59.74,"3,065",261,8.52,208,70.51,295
IL,2021-01-19,"19,621",67.53,"29,055","3,339",11.49,"2,264",64.7,"3,499"
IN,2021-01-19,"10,568",64.57,"16,368","2,284",13.95,"1,561",72.81,"2,144"
KS,2021-01-19,"4,600",59.04,"7,791",828,10.63,620,77.69,798
KY,2021-01-19,"7,686",62.65,"12,269","1,704",13.89,"1,218",69.13,"1,762"
LA,2021-01-19,"9,148",72.03,"12,701","1,580",12.67,"1,407",77.27,"1,821"
MA,2021-01-19,"12,010",78.98,"15,207","1,935",12.72,"1,185",79.48,"1,491"
MD,2021-01-19,"7,995",82.68,"9,670","2,114",21.86,"1,033",78.85,"1,310"
ME,2021-01-19,"2,012",70.37,"2,859",220,7.69,255,75.89,336
MI,2021-01-19,"15,410",74.75,"20,615","1,995",9.68,"1,987",76.22,"2,607"
MN,2021-01-19,"6,979",71.92,"9,704",678,6.99,683,74.97,911
MS,2021-01-19,"5,088",65.07,"7,819","1,227",15.69,736,85.38,862
MT,2021-01-19,"1,780",62.22,"2,861",163,5.7,136,64.15,212
ND,2021-01-19,"1,398",68.16,"2,051",148,7.22,116,57.14,203
NJ,2021-01-19,"15,253",72.52,"21,033","3,657",17.39,"1,637",55.04,"2,974"
NV,2021-01-19,"5,845",76.63,"7,628","1,676",22.55,796,83.53,953
NY,2021-01-19,"36,554",75.59,"48,360","10,167",21.02,"3,864",71.33,"5,417"
OK,2021-01-19,"6,937",71.85,"9,655","1,853",19.5,960,88.64,"1,083"
PA,2021-01-19,"24,057",78.99,"30,457","4,957",16.46,"3,004",79.16,"3,795"
SC,2021-01-19,"8,404",84.12,"9,991","2,290",22.92,"1,129",82.95,"1,361"
TN,2021-01-19,"12,282",69.0,"17,801","2,705",15.61,"1,793",75.15,"2,386"
UT,2021-01-19,"2,964",56.53,"5,243",593,11.31,433,69.06,627
VA,2021-01-19,"12,193",74.27,"16,418","2,970",18.09,"1,502",77.26,"1,944"
MO,2021-01-19,"11,387",77.37,"14,717","2,275",15.46,"1,522",85.84,"1,773"
NC,2021-01-19,"16,903",78.59,"21,508","3,834",17.94,"2,117",84.99,"2,491"
NE,2021-01-19,"2,671",68.59,"3,894",473,12.4,366,65.24,561
NH,2021-01-19,"1,982",71.29,"2,780",255,9.17,177,62.54,283
NM,2021-01-19,"2,718",74.26,"3,660",670,18.31,378,78.91,479
OH,2021-01-19,"20,507",71.97,"28,494","4,010",14.1,"3,006",73.8,"4,073"
OR,2021-01-19,"4,659",70.17,"6,640",429,6.46,474,61.64,769
RI,2021-01-19,"2,089",101.41,"2,060",417,20.24,148,89.16,166
SD,2021-01-19,"1,356",57.29,"2,367",190,8.03,143,59.34,241
TX,2021-01-19,"47,303",75.92,"62,303","14,374",23.14,"7,263",91.37,"7,949"
VT,2021-01-19,775,65.9,"1,176",43,3.66,68,70.1,97
WA,2021-01-19,"8,480",69.7,"12,166",931,7.65,973,74.39,"1,308"
WI,2021-01-19,"7,868",62.87,"12,515",996,8.13,967,60.44,"1,600"
WV,2021-01-19,"3,919",78.27,"5,007",683,13.64,495,80.23,617
WY,2021-01-19,583,40.46,"1,441",103,7.21,57,44.88,127
