state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-02-15,"481,304",68.98,"697,312","67,520",9.73,"61,124",71.44,"85,487"
AK,2021-02-15,840,56.88,"1,476",42,2.85,74,59.2,125
AL,2021-02-15,"9,883",71.09,"13,903","1,225",8.81,"1,394",87.4,"1,595"
AR,2021-02-15,"4,794",64.1,"7,479",626,8.37,755,69.71,"1,026"
AZ,2021-02-15,"9,317",66.81,"13,946","1,948",13.99,"1,298",59.71,"2,174"
CA,2021-02-15,"44,260",73.9,"59,892","9,039",15.09,"6,213",81.03,"7,668"
CO,2021-02-15,"6,278",62.18,"10,096",512,5.07,789,59.86,"1,318"
CT,2021-02-15,"5,819",75.0,"7,759",702,9.05,591,56.39,"1,048"
DC,2021-02-15,"2,220",76.03,"2,920",260,8.9,249,79.05,315
DE,2021-02-15,"1,767",68.73,"2,571",196,7.62,144,77.42,186
FL,2021-02-15,"40,865",78.24,"52,229","5,128",10.0,"5,082",79.57,"6,387"
GA,2021-02-15,"15,045",77.82,"19,333","3,224",16.68,"2,356",84.57,"2,777"
HI,2021-02-15,"1,756",70.38,"2,495",51,2.04,142,63.11,225
IA,2021-02-15,"4,229",55.13,"7,671",252,3.33,417,63.23,660
ID,2021-02-15,"1,671",52.18,"3,202",164,5.12,155,51.84,299
IL,2021-02-15,"17,964",62.17,"28,897","1,807",6.25,"1,994",57.28,"3,480"
IN,2021-02-15,"9,362",56.51,"16,568",976,5.89,"1,264",58.68,"2,155"
KS,2021-02-15,"4,130",53.02,"7,789",426,5.47,522,65.91,792
KY,2021-02-15,"6,865",55.83,"12,297",963,7.83,"1,128",64.09,"1,760"
LA,2021-02-15,"8,012",64.27,"12,466",724,5.92,"1,188",67.5,"1,760"
MA,2021-02-15,"13,021",76.97,"16,918",995,5.88,"1,096",76.7,"1,429"
MD,2021-02-15,"7,394",76.51,"9,664","1,379",14.27,987,76.93,"1,283"
ME,2021-02-15,"1,868",65.57,"2,849",119,4.18,228,68.94,330
MI,2021-02-15,"14,435",70.31,"20,531",941,4.58,"1,893",72.33,"2,617"
MN,2021-02-15,"6,324",69.61,"9,085",392,4.31,574,66.98,857
MO,2021-02-15,"9,962",70.64,"14,103","1,256",8.9,"1,280",76.66,"1,667"
MS,2021-02-15,"4,625",60.62,"7,629",591,7.75,646,80.05,807
MT,2021-02-15,"1,594",56.1,"2,842",89,3.13,114,53.52,213
NC,2021-02-15,"15,917",73.12,"21,769","1,915",8.91,"1,956",78.08,"2,505"
ND,2021-02-15,"1,316",64.23,"2,049",124,6.05,124,62.88,198
NE,2021-02-15,"2,409",59.69,"4,036",190,4.8,338,59.3,570
NH,2021-02-15,"1,827",65.48,"2,790",118,4.23,147,52.13,282
NJ,2021-02-15,"14,198",68.44,"20,746","2,462",11.87,"1,456",49.21,"2,959"
NM,2021-02-15,"2,492",69.47,"3,587",270,7.51,323,74.6,433
NV,2021-02-15,"5,321",70.12,"7,588",767,10.36,673,74.86,899
NY,2021-02-15,"34,342",71.57,"47,970","7,487",15.61,"3,740",65.8,"5,685"
OH,2021-02-15,"18,804",65.71,"28,618","1,930",6.76,"2,645",65.08,"4,064"
OK,2021-02-15,"5,923",61.88,"9,572",937,9.92,842,79.36,"1,061"
OR,2021-02-15,"4,843",72.58,"6,673",304,4.56,513,65.52,783
PA,2021-02-15,"22,398",74.05,"30,247","2,632",8.8,"2,699",74.43,"3,626"
RI,2021-02-15,"1,963",83.47,"1,996",237,11.87,132,80.98,163
SC,2021-02-15,"7,531",77.02,"9,778","1,163",11.89,"1,002",77.73,"1,289"
SD,2021-02-15,"1,208",51.23,"2,358",96,4.07,102,44.54,229
TN,2021-02-15,"11,508",65.18,"17,655","1,165",6.78,"1,635",70.29,"2,326"
TX,2021-02-15,"41,107",69.08,"59,504","8,149",13.73,"6,231",86.48,"7,205"
UT,2021-02-15,"2,704",51.06,"5,296",288,5.44,371,61.22,606
VA,2021-02-15,"11,276",68.64,"16,427","1,743",10.61,"1,355",69.45,"1,951"
VT,2021-02-15,718,60.13,"1,194",44,3.69,58,58.59,99
WA,2021-02-15,"8,235",68.24,"12,067",606,5.02,923,72.51,"1,273"
WV,2021-02-15,"3,435",69.95,"4,911",351,7.15,441,71.24,619
WY,2021-02-15,490,34.12,"1,436",41,2.88,52,42.98,121
WI,2021-02-15,"7,037",56.59,"12,435",474,3.89,792,49.83,"1,588"
