state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-01-23,"516,203",73.26,"704,240","112,672",16.07,"68,200",77.64,"87,776"
AK,2021-01-23,775,53.37,"1,452",52,3.58,83,68.6,121
AL,2021-01-23,"10,568",75.89,"13,925","2,377",17.07,"1,521",94.35,"1,612"
AR,2021-01-23,"5,387",70.99,"7,588","1,092",14.39,795,71.74,"1,051"
AZ,2021-01-23,"11,199",75.57,"14,819","4,274",28.89,"1,686",73.59,"2,291"
CA,2021-01-23,"51,444",80.82,"63,651","18,444",28.98,"7,764",89.78,"8,648"
CO,2021-01-23,"6,490",64.31,"10,091",781,7.74,835,63.16,"1,322"
CT,2021-01-23,"6,199",80.16,"7,733","1,208",15.62,662,63.05,"1,050"
DC,2021-01-23,"2,439",81.03,"3,010",356,11.83,269,81.27,331
DE,2021-01-23,"1,894",73.07,"2,592",383,14.78,161,83.85,192
FL,2021-01-23,"42,205",80.69,"52,308","7,284",14.2,"5,398",83.77,"6,444"
GA,2021-01-23,"15,966",82.24,"19,414","5,335",27.48,"2,577",92.61,"2,774"
HI,2021-01-23,"1,748",70.26,"2,488",132,5.31,152,67.56,225
IA,2021-01-23,"4,619",59.86,"7,716",379,4.98,451,66.52,678
ID,2021-01-23,"1,669",54.76,"3,048",185,6.07,201,68.37,294
IL,2021-01-23,"19,271",66.33,"29,054","3,065",10.55,"2,209",63.17,"3,497"
IN,2021-01-23,"10,387",63.22,"16,431","2,026",12.33,"1,506",69.18,"2,177"
KS,2021-01-23,"4,374",57.08,"7,663",741,9.67,613,77.4,792
KY,2021-01-23,"7,502",61.01,"12,297","1,558",12.67,"1,206",68.44,"1,762"
LA,2021-01-23,"8,962",71.29,"12,571","1,417",11.49,"1,409",77.67,"1,814"
MA,2021-01-23,"12,057",79.55,"15,157","1,681",11.09,"1,185",80.94,"1,464"
MD,2021-01-23,"7,957",81.43,"9,771","1,917",19.62,"1,035",78.71,"1,315"
ME,2021-01-23,"1,947",68.24,"2,853",207,7.26,243,72.75,334
MI,2021-01-23,"15,128",74.03,"20,436","1,682",8.23,"1,934",77.14,"2,507"
MN,2021-01-23,"6,942",72.12,"9,626",616,6.4,664,72.57,915
MO,2021-01-23,"10,969",75.57,"14,515","1,889",13.01,"1,464",82.51,"1,772"
MS,2021-01-23,"4,933",63.37,"7,785","1,060",13.62,698,81.16,860
MT,2021-01-23,"1,706",59.8,"2,853",139,4.87,131,61.79,212
NC,2021-01-23,"16,605",76.72,"21,643","3,386",15.74,"2,104",84.19,"2,499"
ND,2021-01-23,"1,320",65.09,"2,028",126,6.21,110,54.73,201
NE,2021-01-23,"2,549",66.31,"3,844",409,10.87,369,64.74,570
NH,2021-01-23,"1,966",70.64,"2,783",234,8.41,168,59.15,284
NJ,2021-01-23,"14,454",69.47,"20,807","3,296",15.84,"1,572",53.58,"2,934"
NM,2021-01-23,"2,727",75.1,"3,631",556,15.31,379,81.16,467
NV,2021-01-23,"5,774",75.51,"7,647","1,431",19.2,768,81.01,948
NY,2021-01-23,"35,640",73.58,"48,422","9,416",19.45,"3,894",71.57,"5,441"
OH,2021-01-23,"19,990",70.52,"28,347","3,520",12.44,"2,952",72.51,"4,071"
OK,2021-01-23,"6,643",69.36,"9,578","1,564",16.6,916,85.69,"1,069"
OR,2021-01-23,"4,690",70.71,"6,633",432,6.51,488,62.24,784
PA,2021-01-23,"23,171",77.03,"30,080","4,353",14.64,"3,021",80.6,"3,748"
RI,2021-01-23,"1,980",84.11,"2,001",386,19.29,145,86.83,167
SC,2021-01-23,"8,079",81.35,"9,931","2,106",21.21,"1,084",80.53,"1,346"
SD,2021-01-23,"1,347",56.43,"2,387",148,6.2,128,54.24,236
TN,2021-01-23,"12,223",68.56,"17,827","2,137",12.32,"1,846",76.69,"2,407"
TX,2021-01-23,"46,307",74.89,"61,837","13,286",21.55,"7,061",90.29,"7,820"
UT,2021-01-23,"3,197",60.95,"5,245",511,9.74,439,70.24,625
VA,2021-01-23,"11,689",71.23,"16,411","2,630",16.03,"1,453",74.78,"1,943"
VT,2021-01-23,762,64.8,"1,176",49,4.17,66,67.35,98
WA,2021-01-23,"8,457",69.88,"12,103",837,6.92,954,72.16,"1,322"
WV,2021-01-23,"3,816",75.79,"5,035",633,12.57,505,81.85,617
WY,2021-01-23,593,41.32,"1,435",74,5.2,43,33.86,127
WI,2021-01-23,"7,487",59.6,"12,562",872,7.09,883,55.26,"1,598"
