state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-02-20,"492,209",70.22,"700,920","59,334",8.5,"61,474",71.85,"85,561"
AL,2021-02-20,"9,831",70.81,"13,884","1,009",7.27,"1,326",83.24,"1,593"
CT,2021-02-20,"5,946",76.49,"7,774",588,7.56,598,57.17,"1,046"
DC,2021-02-20,"2,321",78.39,"2,961",248,8.38,280,86.69,323
ID,2021-02-20,"1,676",52.96,"3,165",140,4.42,168,57.34,293
AK,2021-02-20,778,53.07,"1,466",50,3.41,77,58.78,131
AR,2021-02-20,"5,110",68.06,"7,508",632,8.42,736,73.97,995
AZ,2021-02-20,"9,712",68.51,"14,175","1,552",10.96,"1,299",59.86,"2,170"
CA,2021-02-20,"44,797",74.78,"59,906","7,228",12.06,"5,929",79.23,"7,483"
CO,2021-02-20,"6,353",62.8,"10,116",498,4.92,830,63.22,"1,312"
DE,2021-02-20,"1,732",66.39,"2,609",179,6.86,153,79.69,192
FL,2021-02-20,"41,058",78.24,"52,474","4,723",9.17,"5,080",79.1,"6,422"
GA,2021-02-20,"15,009",77.3,"19,417","2,796",14.4,"2,298",83.89,"2,740"
HI,2021-02-20,"1,751",70.43,"2,486",54,2.17,137,62.27,220
IA,2021-02-20,"4,492",58.41,"7,690",235,3.1,418,62.76,666
IL,2021-02-20,"18,730",64.76,"28,921","1,572",5.44,"2,067",59.35,"3,483"
IN,2021-02-20,"9,855",59.41,"16,589",844,5.09,"1,373",63.36,"2,167"
KS,2021-02-20,"4,235",54.23,"7,810",374,4.78,552,69.35,796
KY,2021-02-20,"6,961",56.62,"12,295",919,7.47,"1,120",63.64,"1,760"
LA,2021-02-20,"8,209",66.08,"12,423",666,5.46,"1,236",70.87,"1,744"
MA,2021-02-20,"13,177",77.72,"16,954",890,5.25,"1,066",74.13,"1,438"
MD,2021-02-20,"7,660",78.81,"9,719","1,219",12.54,975,75.06,"1,299"
ME,2021-02-20,"1,825",63.57,"2,871",95,3.31,227,69.0,329
MI,2021-02-20,"14,941",71.63,"20,858",854,4.09,"1,913",73.31,"2,609"
MN,2021-02-20,"6,846",72.84,"9,399",335,3.56,653,73.95,883
MO,2021-02-20,"10,517",73.1,"14,388","1,140",7.93,"1,356",79.53,"1,705"
MS,2021-02-20,"4,806",62.32,"7,712",568,7.37,647,78.9,820
MT,2021-02-20,"1,677",59.05,"2,840",82,2.89,129,56.83,227
ND,2021-02-20,"1,430",71.39,"2,003",88,4.39,130,67.36,193
NE,2021-02-20,"2,635",64.85,"4,063",194,4.87,362,63.73,568
NH,2021-02-20,"1,859",66.92,"2,778",110,3.96,157,55.67,282
NJ,2021-02-20,"13,838",66.73,"20,738","2,127",10.26,"1,427",48.18,"2,962"
NV,2021-02-20,"5,286",69.75,"7,579",614,8.3,675,75.5,894
NY,2021-02-20,"34,029",71.0,"47,913","6,593",13.76,"3,767",66.04,"5,704"
OK,2021-02-20,"6,232",65.29,"9,546",846,8.96,842,79.43,"1,060"
PA,2021-02-20,"22,759",76.07,"29,918","2,270",7.67,"2,716",75.55,"3,595"
SC,2021-02-20,"7,609",77.11,"9,868",927,9.39,988,76.89,"1,285"
TN,2021-02-20,"11,262",64.17,"17,550","1,040",6.08,"1,600",68.46,"2,337"
UT,2021-02-20,"2,952",55.75,"5,296",263,4.97,385,63.53,606
VA,2021-02-20,"11,104",67.72,"16,396","1,484",9.05,"1,292",66.49,"1,944"
NC,2021-02-20,"15,852",72.82,"21,767","1,641",7.58,"1,927",77.3,"2,493"
NM,2021-02-20,"2,526",70.03,"3,607",254,7.03,344,78.36,439
OH,2021-02-20,"19,558",68.13,"28,708","1,770",6.18,"2,694",65.33,"4,123"
OR,2021-02-20,"4,866",72.13,"6,747",272,4.04,516,65.51,788
RI,2021-02-20,"2,003",90.76,"2,207",208,9.42,126,83.44,151
SD,2021-02-20,"1,278",53.97,"2,368",93,3.93,116,50.0,232
TX,2021-02-20,"44,389",72.92,"60,875","7,703",12.68,"6,422",87.98,"7,299"
VT,2021-02-20,744,62.78,"1,185",39,3.29,68,68.69,99
WA,2021-02-20,"8,645",69.04,"12,522",549,4.38,913,69.06,"1,322"
WI,2021-02-20,"7,221",58.06,"12,437",417,3.43,872,54.81,"1,592"
WV,2021-02-20,"3,601",71.99,"5,002",313,6.26,456,73.43,621
WY,2021-02-20,525,36.51,"1,438",31,2.17,36,28.35,127
