state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-02-14,"480,583",68.8,"698,036","68,061",9.8,"61,333",71.22,"86,050"
AK,2021-02-14,838,56.7,"1,478",33,2.23,79,63.2,125
AL,2021-02-14,"9,766",70.08,"13,936","1,284",9.21,"1,342",84.03,"1,597"
AR,2021-02-14,"4,704",63.77,"7,376",628,8.51,740,69.28,"1,014"
AZ,2021-02-14,"9,430",67.44,"13,982","2,022",14.48,"1,356",60.89,"2,227"
CA,2021-02-14,"44,977",74.74,"60,179","9,311",15.47,"6,346",82.61,"7,681"
CO,2021-02-14,"6,051",59.68,"10,139",497,4.9,754,57.82,"1,304"
CT,2021-02-14,"5,794",74.66,"7,760",710,9.15,616,58.78,"1,048"
DC,2021-02-14,"2,220",76.08,"2,918",249,8.53,254,81.94,310
DE,2021-02-14,"1,681",65.28,"2,575",205,7.96,139,74.73,186
FL,2021-02-14,"40,725",77.67,"52,434","5,127",9.96,"5,082",79.39,"6,401"
GA,2021-02-14,"14,854",76.46,"19,428","3,255",16.75,"2,379",85.4,"2,774"
HI,2021-02-14,"1,765",71.11,"2,482",50,2.01,147,65.33,225
IA,2021-02-14,"4,192",54.67,"7,668",245,3.24,396,60.27,657
ID,2021-02-14,"1,610",50.27,"3,204",176,5.49,165,55.18,299
IL,2021-02-14,"18,010",62.3,"28,910","1,838",6.36,"2,024",58.13,"3,482"
IN,2021-02-14,"9,450",56.88,"16,615","1,040",6.26,"1,314",60.55,"2,170"
KS,2021-02-14,"4,122",52.99,"7,779",432,5.55,538,67.44,797
KY,2021-02-14,"6,969",56.68,"12,295",980,7.97,"1,125",64.25,"1,751"
LA,2021-02-14,"8,133",65.14,"12,485",737,6.02,"1,221",68.67,"1,778"
MA,2021-02-14,"13,040",77.38,"16,851","1,009",5.99,"1,089",75.78,"1,437"
MD,2021-02-14,"7,471",77.21,"9,676","1,360",14.06,995,77.19,"1,289"
ME,2021-02-14,"1,862",65.08,"2,861",118,4.12,214,64.85,330
MI,2021-02-14,"14,424",70.02,"20,602",952,4.62,"1,907",73.07,"2,610"
MN,2021-02-14,"6,356",69.43,"9,154",402,4.39,584,67.85,860
MO,2021-02-14,"9,996",71.33,"14,013","1,243",8.87,"1,262",76.44,"1,647"
MS,2021-02-14,"4,745",61.91,"7,664",621,8.1,650,80.51,808
MT,2021-02-14,"1,589",55.52,"2,862",90,3.14,107,47.56,225
NC,2021-02-14,"15,610",71.93,"21,702","1,925",8.98,"1,950",78.26,"2,491"
ND,2021-02-14,"1,272",63.89,"1,991",121,6.08,115,58.38,197
NE,2021-02-14,"2,384",59.39,"4,015",205,5.21,331,58.27,568
NH,2021-02-14,"1,818",65.16,"2,790",121,4.34,157,55.67,282
NJ,2021-02-14,"13,938",67.24,"20,729","2,494",12.03,"1,450",49.2,"2,947"
NM,2021-02-14,"2,445",67.73,"3,610",283,7.84,329,74.6,441
NV,2021-02-14,"5,357",70.53,"7,595",748,10.09,679,74.94,906
NY,2021-02-14,"34,032",70.92,"47,974","7,416",15.46,"3,747",65.97,"5,680"
OH,2021-02-14,"18,794",65.27,"28,796","1,932",6.72,"2,681",65.37,"4,101"
OK,2021-02-14,"5,916",62.02,"9,538",926,9.84,829,78.06,"1,062"
OR,2021-02-14,"4,743",71.42,"6,641",315,4.74,497,64.17,774
PA,2021-02-14,"21,715",74.21,"29,260","2,546",8.8,"2,600",73.23,"3,551"
RI,2021-02-14,"1,937",83.8,"1,957",247,12.62,135,87.1,155
SC,2021-02-14,"7,374",75.32,"9,790","1,166",11.91,985,75.54,"1,304"
SD,2021-02-14,"1,196",50.38,"2,373",85,3.58,99,43.61,227
TN,2021-02-14,"11,306",63.86,"17,706","1,133",6.57,"1,608",68.92,"2,334"
TX,2021-02-14,"42,168",69.83,"60,384","8,255",13.71,"6,317",82.03,"7,701"
UT,2021-02-14,"2,860",53.98,"5,298",292,5.51,382,62.83,608
VA,2021-02-14,"11,090",67.54,"16,421","1,728",10.52,"1,346",69.13,"1,947"
VT,2021-02-14,691,57.87,"1,194",51,4.27,66,66.67,99
WA,2021-02-14,"8,242",67.86,"12,145",605,4.98,903,68.56,"1,317"
WV,2021-02-14,"3,403",68.91,"4,938",348,7.05,444,71.73,619
WY,2021-02-14,496,34.54,"1,436",43,3.02,52,41.94,124
WI,2021-02-14,"7,022",56.5,"12,427",464,3.82,806,50.92,"1,583"
