state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-01-22,"532,286",75.18,"707,664","116,894",16.6,"69,417",78.75,"88,085"
AK,2021-01-22,779,53.65,"1,452",48,3.31,81,67.5,120
AL,2021-01-22,"11,040",79.2,"13,939","2,486",17.83,"1,552",96.46,"1,609"
AR,2021-01-22,"5,612",73.13,"7,674","1,140",14.86,790,71.9,"1,050"
AZ,2021-01-22,"11,479",77.46,"14,819","4,441",30.02,"1,694",73.46,"2,306"
CA,2021-01-22,"52,335",81.72,"64,039","19,124",29.86,"7,888",90.67,"8,700"
CT,2021-01-22,"6,330",81.46,"7,771","1,218",15.67,653,62.31,"1,048"
DC,2021-01-22,"2,451",81.24,"3,017",357,11.83,286,85.89,333
DE,2021-01-22,"1,947",75.06,"2,594",427,16.46,168,87.5,192
FL,2021-01-22,"43,260",82.54,"52,409","7,449",14.49,"5,457",85.37,"6,392"
GA,2021-01-22,"16,488",84.97,"19,404","5,546",28.58,"2,572",92.46,"2,771"
HI,2021-01-22,"1,785",72.0,"2,479",139,5.61,143,63.84,224
IA,2021-01-22,"4,934",64.12,"7,695",417,5.49,474,70.85,669
ID,2021-01-22,"1,746",56.74,"3,077",206,6.69,204,69.86,292
IN,2021-01-22,"10,763",65.54,"16,421","2,095",12.76,"1,573",72.99,"2,155"
KS,2021-01-22,"4,718",60.39,"7,812",774,9.91,616,77.29,797
KY,2021-01-22,"7,776",63.34,"12,277","1,628",13.26,"1,253",71.11,"1,762"
LA,2021-01-22,"9,314",73.11,"12,740","1,464",11.71,"1,423",78.27,"1,818"
MA,2021-01-22,"12,334",81.15,"15,199","1,788",11.76,"1,205",81.86,"1,472"
MD,2021-01-22,"8,128",84.01,"9,675","1,962",20.28,"1,053",78.7,"1,338"
ME,2021-01-22,"1,976",68.66,"2,878",218,7.57,257,77.18,333
MI,2021-01-22,"15,170",73.61,"20,608","1,779",8.63,"1,955",75.63,"2,585"
CO,2021-01-22,"6,556",64.58,"10,152",808,7.96,856,64.36,"1,330"
IL,2021-01-22,"20,048",68.92,"29,090","3,215",11.05,"2,281",65.32,"3,492"
MN,2021-01-22,"7,243",74.49,"9,724",639,6.57,685,73.66,930
MO,2021-01-22,"11,490",77.73,"14,781","2,047",13.85,"1,486",83.28,"1,782"
MS,2021-01-22,"5,159",65.67,"7,856","1,105",14.07,719,83.22,864
MT,2021-01-22,"1,845",64.92,"2,842",152,5.35,141,66.82,211
NC,2021-01-22,"16,938",78.2,"21,661","3,516",16.33,"2,106",84.17,"2,502"
ND,2021-01-22,"1,380",67.09,"2,057",133,6.47,111,56.06,198
NE,2021-01-22,"2,666",68.61,"3,886",429,11.27,376,65.96,570
NH,2021-01-22,"1,996",71.67,"2,785",213,7.65,177,62.54,283
NJ,2021-01-22,"14,945",71.56,"20,885","3,327",15.93,"1,569",53.53,"2,931"
NM,2021-01-22,"2,745",75.56,"3,633",678,18.66,392,83.23,471
NV,2021-01-22,"5,829",76.27,"7,643","1,459",19.58,766,81.32,942
NY,2021-01-22,"36,727",75.76,"48,463","9,682",19.98,"3,895",71.7,"5,432"
OH,2021-01-22,"20,793",73.12,"28,436","3,700",13.04,"3,015",73.75,"4,088"
OK,2021-01-22,"7,034",72.4,"9,716","1,641",17.16,953,87.27,"1,092"
OR,2021-01-22,"4,801",72.18,"6,651",429,6.45,508,63.9,795
PA,2021-01-22,"23,941",79.23,"30,217","4,567",15.29,"3,039",80.95,"3,754"
RI,2021-01-22,"2,160",88.67,"2,101",394,18.75,151,89.88,168
SC,2021-01-22,"8,426",84.58,"9,962","2,140",21.48,"1,114",82.7,"1,347"
SD,2021-01-22,"1,424",59.66,"2,387",170,7.12,153,64.29,238
TN,2021-01-22,"12,623",70.86,"17,814","2,313",13.34,"1,870",78.47,"2,383"
TX,2021-01-22,"48,169",76.66,"62,939","13,691",21.82,"7,295",91.4,"7,981"
UT,2021-01-22,"3,187",60.79,"5,243",523,9.98,440,70.18,627
VA,2021-01-22,"12,115",73.79,"16,418","2,710",16.51,"1,476",75.97,"1,943"
VT,2021-01-22,793,67.43,"1,176",45,3.83,71,73.2,97
WA,2021-01-22,"8,585",70.77,"12,131",825,6.8,970,73.21,"1,325"
WV,2021-01-22,"3,902",77.42,"5,040",650,12.9,502,81.36,617
WY,2021-01-22,598,41.56,"1,439",84,5.89,46,36.22,127
WI,2021-01-22,"7,803",62.14,"12,557",903,7.35,957,59.85,"1,599"
