state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-02-10,"523,846",74.0,"707,460","78,169",11.1,"65,308",75.28,"86,758"
AL,2021-02-10,"10,792",77.61,"13,905","1,505",10.82,"1,415",88.33,"1,602"
AZ,2021-02-10,"10,417",72.08,"14,452","2,406",16.68,"1,426",62.85,"2,269"
CA,2021-02-10,"48,169",78.48,"61,376","10,938",17.82,"6,736",85.28,"7,899"
CT,2021-02-10,"6,365",81.74,"7,787",825,10.59,657,62.33,"1,054"
DC,2021-02-10,"2,434",81.05,"3,003",300,9.99,276,86.25,320
DE,2021-02-10,"1,940",74.36,"2,609",269,10.31,161,84.74,190
GA,2021-02-10,"16,104",82.95,"19,414","3,644",18.77,"2,459",88.14,"2,790"
ID,2021-02-10,"1,864",57.71,"3,230",179,5.54,205,68.33,300
IN,2021-02-10,"10,596",63.75,"16,622","1,176",7.07,"1,398",64.25,"2,176"
KS,2021-02-10,"4,430",56.75,"7,806",462,5.92,556,70.2,792
LA,2021-02-10,"8,927",70.89,"12,592",899,7.28,"1,324",73.72,"1,796"
MD,2021-02-10,"8,014",82.46,"9,719","1,488",15.31,"1,054",79.95,"1,319"
MI,2021-02-10,"15,644",74.18,"21,089","1,108",5.25,"2,044",77.45,"2,639"
AK,2021-02-10,836,56.87,"1,471",34,2.31,83,67.48,123
AR,2021-02-10,"5,554",72.42,"7,669",739,9.64,773,74.47,"1,038"
CO,2021-02-10,"6,727",66.62,"10,098",524,5.19,829,62.47,"1,327"
FL,2021-02-10,"43,409",82.54,"52,590","5,642",10.94,"5,374",83.2,"6,459"
HI,2021-02-10,"1,752",70.7,"2,478",79,3.19,145,65.02,223
IA,2021-02-10,"4,740",61.8,"7,670",275,3.63,444,67.5,657
IL,2021-02-10,"19,696",68.02,"28,958","2,080",7.18,"2,185",63.04,"3,466"
KY,2021-02-10,"7,306",59.38,"12,302","1,150",9.35,"1,164",66.14,"1,760"
MA,2021-02-10,"13,666",80.09,"17,063","1,198",7.02,"1,146",78.6,"1,458"
ME,2021-02-10,"1,997",69.49,"2,874",147,5.11,224,67.32,332
MN,2021-02-10,"6,869",72.93,"9,419",412,4.37,597,69.18,863
MO,2021-02-10,"11,128",75.9,"14,662","1,443",9.84,"1,343",79.05,"1,699"
MS,2021-02-10,"5,171",66.53,"7,772",709,9.12,685,81.45,841
MT,2021-02-10,"1,760",61.99,"2,839",117,4.12,127,61.35,207
NC,2021-02-10,"17,008",77.89,"21,836","2,208",10.24,"2,052",81.88,"2,506"
ND,2021-02-10,"1,372",67.02,"2,047",124,6.06,116,56.59,205
NE,2021-02-10,"2,684",65.78,"4,080",253,6.33,360,63.83,564
NH,2021-02-10,"2,007",72.19,"2,780",142,5.11,174,61.7,282
NJ,2021-02-10,"15,188",72.79,"20,865","2,702",12.95,"1,553",52.48,"2,959"
NM,2021-02-10,"2,704",74.97,"3,607",395,10.95,362,79.91,453
NV,2021-02-10,"5,694",74.9,"7,602",875,11.8,718,79.34,905
NY,2021-02-10,"36,758",76.21,"48,216","8,217",17.04,"3,967",69.5,"5,708"
OH,2021-02-10,"20,897",71.88,"29,074","2,257",7.78,"2,876",70.17,"4,100"
OK,2021-02-10,"6,726",69.98,"9,612","1,061",11.2,894,83.58,"1,069"
OR,2021-02-10,"4,933",73.23,"6,736",315,4.68,522,66.1,789
PA,2021-02-10,"24,482",79.6,"30,757","3,278",10.78,"2,918",78.67,"3,709"
RI,2021-02-10,"2,083",88.5,"2,018",275,13.63,143,88.27,162
SC,2021-02-10,"8,131",81.85,"9,934","1,333",13.42,"1,063",80.96,"1,313"
SD,2021-02-10,"1,352",56.97,"2,373",100,4.21,123,53.48,230
TN,2021-02-10,"11,990",67.68,"17,717","1,285",7.45,"1,694",71.86,"2,358"
UT,2021-02-10,"3,112",58.74,"5,298",345,6.51,426,70.18,607
VA,2021-02-10,"12,135",73.77,"16,450","2,030",12.34,"1,444",73.94,"1,953"
VT,2021-02-10,780,66.27,"1,177",59,5.01,75,75.76,99
WA,2021-02-10,"8,696",70.69,"12,302",628,5.1,941,70.33,"1,338"
TX,2021-02-10,"46,734",74.7,"62,566","9,507",15.22,"6,638",88.38,"7,510"
WI,2021-02-10,"7,619",60.93,"12,505",568,4.64,925,57.88,"1,598"
WV,2021-02-10,"3,888",77.71,"5,003",404,8.08,442,71.52,618
WY,2021-02-10,566,39.42,"1,436",60,4.21,53,42.74,124
