state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-03-08,"478,724",68.59,"697,932","43,026",6.19,"57,660",68.3,"84,339"
AK,2021-03-08,801,54.12,"1,480",37,2.5,90,68.32,131
AL,2021-03-08,"9,746",70.27,"13,869",604,4.36,"1,288",81.08,"1,588"
AR,2021-03-08,"4,980",66.2,"7,523",348,4.63,750,69.68,"1,011"
AZ,2021-03-08,"9,200",66.26,"13,884",922,6.65,"1,113",51.84,"2,147"
CA,2021-03-08,"41,824",71.63,"58,388","4,158",7.12,"5,132",72.39,"7,089"
CO,2021-03-08,"6,174",60.92,"10,135",411,4.06,783,62.49,"1,253"
CT,2021-03-08,"5,760",74.3,"7,752",485,6.26,566,54.11,"1,046"
DC,2021-03-08,"2,167",79.46,"2,727",214,7.85,255,80.19,318
DE,2021-03-08,"1,737",67.56,"2,571",100,3.89,154,82.8,186
FL,2021-03-08,"39,682",75.91,"52,272","3,716",7.24,"4,804",75.12,"6,395"
GA,2021-03-08,"14,465",75.1,"19,262","1,962",10.19,"2,180",79.02,"2,750"
HI,2021-03-08,"1,646",66.13,"2,489",31,1.25,136,59.65,228
IA,2021-03-08,"4,365",56.8,"7,685",190,2.5,396,59.74,662
ID,2021-03-08,"1,660",51.71,"3,210",130,4.05,187,62.33,300
IL,2021-03-08,"17,979",62.44,"28,795","1,180",4.1,"1,934",55.83,"3,464"
IN,2021-03-08,"9,420",55.9,"16,852",613,3.64,"1,280",59.26,"2,160"
KS,2021-03-08,"4,222",54.34,"7,770",262,3.37,532,67.9,784
KY,2021-03-08,"6,841",55.57,"12,311",567,4.61,"1,052",59.73,"1,762"
LA,2021-03-08,"8,266",66.08,"12,509",490,3.98,"1,163",65.36,"1,780"
MA,2021-03-08,"12,742",76.39,"16,680",636,3.82,"1,032",72.64,"1,420"
MD,2021-03-08,"7,554",76.42,"9,885","1,036",10.48,928,71.77,"1,293"
ME,2021-03-08,"1,919",67.22,"2,855",87,3.05,228,69.88,327
MI,2021-03-08,"15,076",72.33,"20,844",933,4.48,"1,806",71.07,"2,541"
MN,2021-03-08,"6,352",69.59,"9,128",312,3.42,565,65.85,858
MO,2021-03-08,"10,316",71.84,"14,359",853,5.94,"1,245",75.21,"1,654"
MS,2021-03-08,"4,762",61.52,"7,741",381,4.92,592,72.55,816
MT,2021-03-08,"1,546",54.15,"2,855",50,1.75,95,43.98,216
NC,2021-03-08,"15,660",71.98,"21,757","1,145",5.29,"1,807",72.57,"2,490"
ND,2021-03-08,"1,319",65.44,"2,016",78,3.85,108,53.45,203
NE,2021-03-08,"2,390",60.27,"3,966",154,3.96,321,57.22,561
NH,2021-03-08,"1,862",66.88,"2,784",86,3.09,164,58.16,282
NJ,2021-03-08,"14,166",68.17,"20,780","1,932",9.3,"1,383",45.63,"3,031"
NM,2021-03-08,"2,433",67.43,"3,608",141,3.91,319,73.33,435
NV,2021-03-08,"5,156",68.14,"7,567",402,5.43,600,68.89,871
NY,2021-03-08,"34,545",72.17,"47,850","5,746",12.01,"3,674",67.34,"5,456"
OH,2021-03-08,"18,770",65.0,"28,876","1,115",3.87,"2,528",62.5,"4,045"
OK,2021-03-08,"6,110",63.41,"9,636",463,4.87,789,75.36,"1,047"
OR,2021-03-08,"4,635",69.08,"6,710",188,2.81,490,64.29,763
PA,2021-03-08,"22,037",73.93,"29,807","1,767",6.0,"2,598",73.51,"3,534"
RI,2021-03-08,"1,941",91.47,"2,122",183,8.62,129,80.12,161
SC,2021-03-08,"7,195",73.29,"9,817",575,5.86,912,70.37,"1,296"
SD,2021-03-08,"1,202",50.85,"2,364",56,2.37,110,48.25,228
TN,2021-03-08,"11,508",65.38,"17,601",763,4.45,"1,633",69.14,"2,362"
TX,2021-03-08,"42,686",70.43,"60,608","5,212",8.62,"5,950",83.77,"7,103"
UT,2021-03-08,"2,802",52.86,"5,301",189,3.57,347,57.07,608
VA,2021-03-08,"11,133",68.24,"16,315","1,176",7.21,"1,267",65.11,"1,946"
VT,2021-03-08,700,59.17,"1,183",34,2.87,62,63.27,98
WA,2021-03-08,"8,210",65.09,"12,614",378,3.0,917,69.16,"1,326"
WV,2021-03-08,"3,597",71.85,"5,006",213,4.25,406,65.8,617
WY,2021-03-08,518,36.02,"1,438",26,1.82,46,36.22,127
WI,2021-03-08,"6,947",56.14,"12,375",294,2.43,814,51.81,"1,571"
