state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-01-29,"523,592",74.17,"705,520","100,790",14.35,"67,800",77.14,"87,820"
AL,2021-01-29,"10,754",77.47,"13,882","2,071",14.92,"1,449",90.73,"1,597"
AZ,2021-01-29,"11,091",76.31,"14,534","3,771",25.99,"1,676",72.55,"2,310"
CA,2021-01-29,"51,073",80.74,"63,260","15,929",25.18,"7,624",89.07,"8,560"
CT,2021-01-29,"6,233",80.58,"7,735","1,095",14.16,650,61.96,"1,049"
DC,2021-01-29,"2,499",83.27,"3,001",348,11.6,268,81.71,328
GA,2021-01-29,"16,362",84.04,"19,470","4,791",24.61,"2,589",91.25,"2,824"
ID,2021-01-29,"1,794",58.25,"3,080",204,6.62,214,71.57,299
IN,2021-01-29,"10,475",63.83,"16,411","1,616",9.85,"1,475",68.0,"2,169"
KS,2021-01-29,"4,606",58.82,"7,831",624,7.97,624,77.32,807
LA,2021-01-29,"9,061",71.4,"12,690","1,291",10.37,"1,415",77.2,"1,833"
MD,2021-01-29,"8,093",82.69,"9,787","1,810",18.49,"1,022",76.44,"1,337"
MI,2021-01-29,"15,051",73.87,"20,375","1,424",6.99,"1,942",75.39,"2,576"
AK,2021-01-29,828,56.06,"1,477",39,2.64,81,64.8,125
AR,2021-01-29,"5,444",71.12,"7,655",911,11.9,792,72.1,"1,043"
CO,2021-01-29,"6,673",66.0,"10,110",658,6.51,817,61.75,"1,323"
DE,2021-01-29,"1,926",74.56,"2,583",327,12.66,176,91.19,193
FL,2021-01-29,"43,431",82.75,"52,487","6,921",13.44,"5,460",84.59,"6,455"
HI,2021-01-29,"1,719",69.23,"2,483",92,3.71,154,69.37,222
IA,2021-01-29,"4,761",61.94,"7,687",374,4.93,482,72.48,665
IL,2021-01-29,"19,402",66.91,"28,999","2,647",9.13,"2,225",63.64,"3,496"
KY,2021-01-29,"7,439",60.48,"12,299","1,440",11.71,"1,201",68.2,"1,761"
MA,2021-01-29,"12,097",79.66,"15,185","1,496",9.85,"1,168",78.65,"1,485"
ME,2021-01-29,"1,993",69.44,"2,870",205,7.14,247,73.51,336
MN,2021-01-29,"6,991",72.91,"9,588",511,5.33,638,71.6,891
MO,2021-01-29,"11,205",75.9,"14,763","1,745",11.82,"1,383",79.49,"1,736"
MS,2021-01-29,"5,072",64.66,"7,844",973,12.4,717,83.47,859
MT,2021-01-29,"1,796",62.91,"2,855",110,3.85,134,63.21,212
ND,2021-01-29,"1,339",68.0,"1,969",123,6.25,119,61.66,193
NE,2021-01-29,"2,595",66.1,"3,926",343,8.92,359,63.77,563
NH,2021-01-29,"1,962",70.65,"2,777",207,7.45,177,62.54,283
NJ,2021-01-29,"14,887",71.74,"20,751","3,145",15.16,"1,523",51.82,"2,939"
NM,2021-01-29,"2,725",74.86,"3,640",589,16.18,372,78.15,476
NV,2021-01-29,"5,798",75.94,"7,635","1,214",16.32,750,79.53,943
NY,2021-01-29,"36,018",74.42,"48,391","8,964",18.52,"3,978",72.47,"5,489"
OK,2021-01-29,"6,800",70.03,"9,710","1,382",14.45,925,86.21,"1,073"
PA,2021-01-29,"24,175",79.33,"30,475","4,001",13.28,"2,998",79.44,"3,774"
SC,2021-01-29,"8,326",83.5,"9,971","1,810",18.15,"1,100",81.42,"1,351"
SD,2021-01-29,"1,346",56.96,"2,363",139,5.88,125,53.19,235
TN,2021-01-29,"12,108",68.29,"17,730","1,659",9.62,"1,794",75.19,"2,386"
UT,2021-01-29,"3,298",62.82,"5,250",508,9.68,432,69.12,625
VA,2021-01-29,"12,053",73.49,"16,400","2,417",14.74,"1,465",75.32,"1,945"
VT,2021-01-29,717,60.92,"1,177",61,5.18,66,67.35,98
NC,2021-01-29,"16,504",76.03,"21,706","2,948",13.66,"2,050",81.74,"2,508"
OH,2021-01-29,"20,168",70.94,"28,431","3,031",10.68,"2,857",70.16,"4,072"
OR,2021-01-29,"4,863",73.53,"6,614",399,6.03,529,66.62,794
RI,2021-01-29,"2,141",89.0,"2,072",377,18.19,146,88.48,165
TX,2021-01-29,"46,981",75.19,"62,481","11,843",19.01,"6,950",89.64,"7,753"
WA,2021-01-29,"8,730",71.46,"12,217",855,7.0,975,74.14,"1,315"
WI,2021-01-29,"7,704",61.95,"12,436",781,6.42,939,58.54,"1,604"
WV,2021-01-29,"3,935",78.31,"5,025",508,10.11,496,80.13,619
WY,2021-01-29,550,38.41,"1,432",63,4.43,52,41.27,126
