state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-12-29,"519,229",73.5,"706,396","129,401",18.4,"67,892",78.78,"86,181"
AL,2020-12-29,"10,994",77.85,"14,122","2,932",20.77,"1,344",92.85,"1,447"
AZ,2020-12-29,"11,099",78.69,"14,105","4,546",32.28,"1,638",76.12,"2,152"
CA,2020-12-29,"51,188",79.61,"64,296","21,150",32.89,"7,271",87.77,"8,284"
CT,2020-12-29,"5,910",76.05,"7,771","1,366",17.58,665,61.92,"1,074"
DC,2020-12-29,"2,292",80.85,"2,835",301,10.62,268,80.72,332
DE,2020-12-29,"1,799",70.88,"2,538",482,18.99,148,77.08,192
GA,2020-12-29,"16,538",86.95,"19,019","4,763",25.04,"2,412",91.05,"2,649"
ID,2020-12-29,"1,812",58.36,"3,105",340,10.95,209,70.61,296
IN,2020-12-29,"10,868",66.16,"16,426","2,917",17.76,"1,704",79.45,"2,144"
KS,2020-12-29,"4,604",59.0,"7,803","1,001",12.83,651,80.97,804
LA,2020-12-29,"8,852",70.39,"12,576","1,538",12.46,"1,406",78.9,"1,782"
MD,2020-12-29,"8,027",83.93,"9,564","2,092",21.87,"1,066",79.97,"1,333"
MI,2020-12-29,"15,007",73.5,"20,419","2,856",13.98,"2,018",76.52,"2,638"
AK,2020-12-29,777,53.81,"1,444",80,5.54,89,70.63,126
AR,2020-12-29,"5,498",72.82,"7,550","1,227",16.25,774,75.22,"1,029"
CO,2020-12-29,"6,477",63.59,"10,185","1,241",12.18,905,67.14,"1,348"
FL,2020-12-29,"41,113",79.35,"51,814","6,856",13.48,"5,182",81.96,"6,323"
HI,2020-12-29,"1,690",68.2,"2,478",106,4.28,141,65.28,216
IA,2020-12-29,"4,768",61.63,"7,737",612,8.02,479,69.62,688
IL,2020-12-29,"19,670",67.67,"29,069","4,298",14.79,"2,359",67.13,"3,514"
KY,2020-12-29,"7,254",59.11,"12,272","1,704",13.89,"1,162",66.03,"1,759"
MA,2020-12-29,"11,695",77.89,"15,014","2,051",13.66,"1,119",76.28,"1,467"
ME,2020-12-29,"1,942",68.31,"2,843",226,7.95,240,74.77,321
MN,2020-12-29,"6,959",72.41,"9,611","1,074",11.17,706,75.35,937
MO,2020-12-29,"11,273",74.33,"15,166","2,704",17.83,"1,524",83.74,"1,820"
MS,2020-12-29,"5,201",64.75,"8,032","1,443",17.97,703,82.42,853
MT,2020-12-29,"1,740",61.7,"2,820",227,8.05,145,64.73,224
NC,2020-12-29,"16,718",77.92,"21,456","3,533",16.57,"2,070",84.01,"2,464"
ND,2020-12-29,"1,434",70.47,"2,035",214,10.52,113,54.59,207
NE,2020-12-29,"3,147",65.93,"4,773",552,11.76,384,68.57,560
NH,2020-12-29,"1,927",69.52,"2,772",309,11.15,179,63.25,283
NJ,2020-12-29,"14,825",74.76,"19,831","3,844",19.38,"1,680",68.97,"2,436"
NM,2020-12-29,"2,741",74.2,"3,694",742,20.08,403,95.95,420
NV,2020-12-29,"6,032",81.51,"7,400","1,943",26.89,823,86.27,954
NY,2020-12-29,"35,233",69.74,"50,524","8,831",17.48,"3,654",66.94,"5,459"
OK,2020-12-29,"6,872",71.47,"9,615","1,990",21.04,963,89.08,"1,081"
PA,2020-12-29,"25,094",78.32,"32,042","6,775",21.38,"3,238",82.48,"3,926"
SC,2020-12-29,"8,113",83.99,"9,659","1,917",19.85,"1,053",83.31,"1,264"
SD,2020-12-29,"1,371",58.25,"2,354",283,12.02,147,62.29,236
TN,2020-12-29,"12,280",74.45,"16,495","3,313",20.69,"1,858",86.74,"2,142"
UT,2020-12-29,"2,870",54.7,"5,247",545,10.39,393,62.88,625
VA,2020-12-29,"11,783",71.68,"16,438","2,577",15.68,"1,445",73.95,"1,954"
VT,2020-12-29,722,61.45,"1,175",36,3.06,61,59.22,103
OH,2020-12-29,"20,231",70.92,"28,526","4,900",17.22,"3,112",74.75,"4,163"
OR,2020-12-29,"4,661",70.78,"6,585",626,9.51,532,67.41,790
RI,2020-12-29,"2,109",90.83,"2,322",489,21.06,146,87.95,166
TX,2020-12-29,"45,448",73.9,"61,498","12,502",20.39,"6,834",90.99,"7,511"
WA,2020-12-29,"8,414",68.19,"12,339","1,127",9.13,959,72.05,"1,331"
WI,2020-12-29,"7,720",61.71,"12,510","1,216",9.93,948,58.55,"1,619"
WV,2020-12-29,"3,842",75.79,"5,069",875,17.26,517,85.03,608
WY,2020-12-29,595,41.81,"1,423",128,9.11,52,40.94,127
