state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
AZ,2020-11-14,"9,706",72.75,"13,340","1,512",11.35,"1,223",63.43,"1,928"
CA,2020-11-14,"44,070",70.79,"62,254","4,452",7.16,"5,220",72.1,"7,240"
CT,2020-11-14,"6,003",73.42,"8,176",913,11.17,542,51.37,"1,055"
DC,2020-11-14,"2,413",82.44,"2,927",216,7.38,278,75.14,370
GA,2020-11-14,"14,779",78.13,"18,917","2,061",10.89,"2,250",83.92,"2,681"
ID,2020-11-14,"1,814",51.73,"3,507",367,10.46,202,68.94,293
IN,2020-11-14,"10,731",64.9,"16,534","2,612",15.8,"1,610",74.64,"2,157"
KS,2020-11-14,"4,550",59.39,"7,661",945,12.34,611,76.86,795
LA,2020-11-14,"8,508",66.73,"12,751",696,5.56,"1,268",70.17,"1,807"
MD,2020-11-14,"8,066",81.25,"9,927","1,288",12.97,992,78.79,"1,259"
MI,2020-11-14,"17,013",77.95,"21,825","3,356",15.38,"2,163",83.65,"2,586"
AK,2020-11-14,924,64.48,"1,433",143,9.98,108,78.26,138
AR,2020-11-14,"5,381",64.87,"8,294",868,10.47,749,75.05,998
CO,2020-11-14,"6,619",65.86,"10,049","1,352",13.45,944,73.38,"1,286"
DE,2020-11-14,"1,713",68.82,"2,489",180,7.23,144,82.76,174
FL,2020-11-14,"39,232",75.97,"51,644","4,191",8.29,"4,751",75.84,"6,265"
HI,2020-11-14,"1,692",67.77,"2,482",93,3.74,143,59.94,238
IA,2020-11-14,"5,050",64.3,"7,854","1,282",16.53,560,82.6,678
IL,2020-11-14,"20,222",67.84,"29,809","5,539",18.58,"2,416",64.05,"3,772"
KY,2020-11-14,"8,602",72.57,"11,853","1,410",11.89,"1,185",77.45,"1,530"
MA,2020-11-14,"11,741",67.39,"17,422",750,4.3,"1,024",53.53,"1,913"
ME,2020-11-14,"1,883",67.15,"2,804",88,3.16,226,69.97,323
MN,2020-11-14,"7,770",73.2,"10,615","1,687",15.89,784,80.25,977
MO,2020-11-14,"11,179",64.79,"17,254","2,410",13.97,"1,495",76.59,"1,952"
MS,2020-11-14,"4,999",62.7,"7,974",729,9.15,665,78.24,850
MT,2020-11-14,"1,968",69.58,"2,829",479,16.93,172,75.11,229
ND,2020-11-14,"1,532",77.54,"1,976",485,24.54,117,90.7,129
NH,2020-11-14,"1,877",64.52,"2,909",85,2.92,154,54.61,282
NJ,2020-11-14,"13,760",72.02,"19,107","2,096",10.97,"1,441",65.01,"2,216"
NV,2020-11-14,"5,666",77.38,"7,322","1,064",14.87,700,81.21,862
NY,2020-11-14,"38,611",71.53,"53,979","3,102",5.75,"4,108",60.34,"6,808"
OK,2020-11-14,"6,776",65.94,"10,276","1,228",12.26,890,76.82,"1,158"
PA,2020-11-14,"23,898",74.55,"32,056","3,232",10.18,"3,078",79.5,"3,872"
SC,2020-11-14,"7,380",76.16,"9,691",709,7.32,938,74.48,"1,260"
TN,2020-11-14,"12,141",73.52,"16,513","1,896",11.83,"1,779",78.81,"2,257"
UT,2020-11-14,"3,040",58.23,"5,221",496,9.5,453,73.06,620
VA,2020-11-14,"11,172",65.41,"17,078","1,230",7.2,"1,314",64.93,"2,023"
NC,2020-11-14,"15,550",72.69,"21,391","1,759",8.28,"1,863",76.35,"2,440"
NE,2020-11-14,"3,244",68.01,"4,770",871,18.57,439,77.84,564
NM,2020-11-14,"2,523",65.99,"3,824",660,17.25,364,91.54,398
OH,2020-11-14,"20,254",69.41,"29,181","3,452",11.85,"2,841",74.43,"3,817"
OR,2020-11-14,"4,808",73.31,"6,559",458,6.98,538,67.67,795
RI,2020-11-14,"1,759",86.74,"2,028",271,13.36,141,85.98,164
SD,2020-11-14,"1,468",62.65,"2,343",530,22.64,173,81.99,211
TX,2020-11-14,"44,434",74.68,"59,659","7,906",13.29,"6,110",87.15,"7,010"
VT,2020-11-14,327,48.37,676,16,2.37,29,46.77,62
WA,2020-11-14,"8,365",66.63,"12,554",666,5.31,923,69.14,"1,335"
WI,2020-11-14,"8,305",67.17,"12,363","2,273",18.96,"1,090",66.88,"1,629"
WV,2020-11-14,"3,811",74.87,"5,090",430,8.45,507,81.51,622
WY,2020-11-14,647,47.35,"1,366",207,15.23,58,48.74,119
CW,2020-11-15,"493,605",69.43,"711,017","78,164",11.05,"61,753",72.39,"85,304"
AL,2020-11-15,"9,971",70.36,"14,172","1,332",9.4,"1,244",84.13,"1,479"
AZ,2020-11-15,"9,344",70.55,"13,244","1,573",11.9,"1,144",60.18,"1,901"
CA,2020-11-15,"42,583",69.1,"61,626","4,612",7.49,"5,153",71.89,"7,168"
CT,2020-11-15,"5,789",70.8,"8,176",934,11.42,540,51.18,"1,055"
DC,2020-11-15,"2,335",80.99,"2,883",190,6.57,259,69.81,371
GA,2020-11-15,"14,428",76.51,"18,858","1,994",10.57,"2,183",81.64,"2,674"
ID,2020-11-15,"1,792",50.92,"3,519",399,11.34,200,68.56,291
IN,2020-11-15,"10,525",63.63,"16,541","2,754",16.65,"1,596",73.92,"2,159"
KS,2020-11-15,"4,444",58.06,"7,654","1,028",13.43,632,78.31,807
LA,2020-11-15,"8,346",65.62,"12,718",744,5.96,"1,245",69.05,"1,803"
MD,2020-11-15,"7,824",79.32,"9,864","1,328",13.46,969,76.78,"1,262"
MI,2020-11-15,"16,206",74.81,"21,664","3,497",16.14,"2,119",82.0,"2,584"
AK,2020-11-15,887,62.33,"1,423",145,10.19,95,73.64,129
AR,2020-11-15,"5,103",61.9,"8,245",888,10.78,737,74.0,996
CO,2020-11-15,"6,425",63.83,"10,065","1,387",13.78,916,70.96,"1,290"
DE,2020-11-15,"1,676",68.07,"2,462",186,7.55,151,86.78,174
FL,2020-11-15,"37,914",73.74,"51,415","4,123",8.19,"4,627",73.95,"6,257"
HI,2020-11-15,"1,720",68.97,"2,478",90,3.62,136,58.76,232
IA,2020-11-15,"5,037",63.98,"7,873","1,381",17.78,552,82.02,673
IL,2020-11-15,"19,591",65.86,"29,745","5,743",19.31,"2,354",62.31,"3,778"
KY,2020-11-15,"8,428",71.1,"11,854","1,468",12.39,"1,176",76.83,"1,530"
MA,2020-11-15,"11,353",65.2,"17,412",798,4.58,992,51.77,"1,916"
ME,2020-11-15,"1,844",65.65,"2,808",84,3.01,228,70.65,322
MN,2020-11-15,"7,656",72.83,"10,512","1,804",17.17,767,79.65,963
MO,2020-11-15,"10,615",62.01,"17,117","2,407",14.06,"1,480",75.94,"1,949"
MS,2020-11-15,"4,874",61.06,"7,982",763,9.55,660,78.67,839
MT,2020-11-15,"1,885",67.45,"2,795",485,17.35,165,72.69,227
ND,2020-11-15,"1,509",75.49,"1,999",490,24.49,127,94.07,135
NH,2020-11-15,"1,783",61.31,"2,908",94,3.23,143,50.53,283
NJ,2020-11-15,"13,333",70.37,"18,947","2,206",11.64,"1,426",63.82,"2,235"
NV,2020-11-15,"5,615",76.43,"7,347","1,160",16.16,697,80.02,871
NY,2020-11-15,"37,953",70.52,"53,819","3,122",5.8,"3,981",58.46,"6,810"
OK,2020-11-15,"6,541",63.93,"10,232","1,247",12.5,876,75.72,"1,157"
PA,2020-11-15,"23,050",72.13,"31,957","3,345",10.57,"3,032",78.9,"3,843"
SC,2020-11-15,"7,196",74.55,"9,653",726,7.52,914,72.29,"1,265"
TN,2020-11-15,"11,900",72.2,"16,483","1,952",12.2,"1,735",76.9,"2,256"
UT,2020-11-15,"2,838",54.35,"5,222",505,9.67,451,72.74,620
VA,2020-11-15,"10,968",64.13,"17,103","1,269",7.42,"1,306",64.59,"2,022"
NC,2020-11-15,"15,276",71.56,"21,348","1,739",8.2,"1,819",74.52,"2,441"
NE,2020-11-15,"3,207",67.07,"4,782",928,19.74,453,80.04,566
NM,2020-11-15,"2,620",68.56,"3,822",664,17.36,378,97.8,387
OH,2020-11-15,"19,386",67.1,"28,890","3,540",12.28,"2,744",72.92,"3,763"
OR,2020-11-15,"4,617",70.46,"6,553",455,6.94,510,64.95,786
RI,2020-11-15,"1,697",87.38,"1,942",276,14.21,133,86.36,154
SD,2020-11-15,"1,490",63.08,"2,363",545,23.06,171,83.82,204
TX,2020-11-15,"43,122",73.75,"58,586","8,114",13.89,"5,953",86.14,"6,911"
VT,2020-11-15,315,46.6,676,15,2.22,30,48.39,62
WA,2020-11-15,"8,176",65.38,"12,504",664,5.31,909,67.94,"1,338"
WI,2020-11-15,"8,098",65.65,"12,335","2,313",19.34,"1,091",67.03,"1,628"
WV,2020-11-15,"3,692",72.76,"5,074",462,9.11,493,79.52,620
WY,2020-11-15,627,45.92,"1,366",197,14.51,59,50.71,117
CW,2020-11-16,"500,039",70.06,"713,818","82,295",11.59,"61,820",72.34,"85,458"
AL,2020-11-16,"10,164",71.98,"14,121","1,358",9.61,"1,266",84.42,"1,499"
AZ,2020-11-16,"9,511",71.68,"13,268","1,654",12.49,"1,170",61.01,"1,917"
CA,2020-11-16,"42,744",69.27,"61,705","4,909",7.96,"5,140",71.12,"7,227"
CT,2020-11-16,"5,688",69.74,"8,156","1,000",12.26,546,51.75,"1,055"
DC,2020-11-16,"2,339",80.49,"2,906",214,7.36,264,72.33,365
