state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-12-09,"533,495",75.66,"705,439","110,934",15.8,"67,442",78.95,"85,421"
AK,2020-12-09,904,61.92,"1,460",156,10.68,102,77.27,132
AL,2020-12-09,"11,129",78.69,"14,143","2,196",15.53,"1,323",91.75,"1,442"
AR,2020-12-09,"5,715",75.08,"7,612","1,098",14.42,826,82.27,"1,004"
AZ,2020-12-09,"10,787",78.03,"13,824","3,373",24.44,"1,491",70.83,"2,105"
CA,2020-12-09,"49,078",78.33,"62,658","12,394",19.78,"6,192",83.28,"7,435"
CO,2020-12-09,"6,955",67.99,"10,229","1,701",16.63,"1,048",69.31,"1,512"
CT,2020-12-09,"6,187",76.1,"8,130","1,389",17.08,653,59.15,"1,104"
DC,2020-12-09,"2,467",84.34,"2,925",258,8.82,296,87.83,337
DE,2020-12-09,"1,842",72.01,"2,558",407,15.91,154,88.51,174
FL,2020-12-09,"41,625",80.35,"51,803","5,198",10.22,"5,187",82.62,"6,278"
GA,2020-12-09,"15,985",83.78,"19,080","3,040",15.93,"2,334",88.24,"2,645"
HI,2020-12-09,"1,749",70.3,"2,488",65,2.61,160,69.57,230
IA,2020-12-09,"5,120",64.22,"7,973",855,10.87,502,72.86,689
ID,2020-12-09,"1,836",58.77,"3,124",437,13.99,219,75.78,289
IL,2020-12-09,"20,768",70.89,"29,296","5,274",18.0,"2,547",68.99,"3,692"
IN,2020-12-09,"11,620",70.48,"16,487","3,202",19.42,"1,731",79.7,"2,172"
KS,2020-12-09,"4,929",62.83,"7,845","1,220",15.55,689,84.85,812
KY,2020-12-09,"8,570",72.21,"11,868","1,778",14.98,"1,194",76.59,"1,559"
LA,2020-12-09,"9,151",72.44,"12,633","1,393",11.23,"1,418",78.82,"1,799"
MA,2020-12-09,"12,090",76.57,"15,790","1,489",9.43,"1,075",69.4,"1,549"
MD,2020-12-09,"7,957",83.62,"9,516","1,952",20.51,"1,007",78.12,"1,289"
ME,2020-12-09,"1,994",69.26,"2,879",219,7.61,236,76.38,309
MI,2020-12-09,"16,412",79.14,"20,738","3,869",18.66,"2,167",83.06,"2,609"
MN,2020-12-09,"7,457",75.86,"9,830","1,750",17.8,803,80.87,993
MO,2020-12-09,"11,591",80.14,"14,464","2,612",18.06,"1,590",88.73,"1,792"
MS,2020-12-09,"5,346",65.93,"8,108","1,205",14.89,711,83.26,854
MT,2020-12-09,"1,969",68.97,"2,855",388,13.59,174,76.65,227
NC,2020-12-09,"16,884",78.33,"21,555","2,712",12.66,"2,042",83.21,"2,454"
ND,2020-12-09,"1,551",76.25,"2,034",388,19.08,137,65.55,209
NE,2020-12-09,"3,398",71.34,"4,763",826,17.64,436,76.36,571
NH,2020-12-09,"2,018",72.85,"2,770",247,8.92,179,63.48,282
NJ,2020-12-09,"15,432",78.9,"19,560","3,678",18.8,"1,603",68.04,"2,356"
NM,2020-12-09,"2,695",76.15,"3,539",852,24.07,391,95.13,411
NV,2020-12-09,"5,985",81.16,"7,374","1,818",25.25,796,86.62,919
NY,2020-12-09,"35,585",75.75,"46,974","6,028",12.83,"3,654",63.87,"5,721"
OH,2020-12-09,"21,213",71.66,"29,601","5,516",18.67,"3,228",78.67,"4,103"
OK,2020-12-09,"6,888",72.66,"9,480","1,634",17.49,988,90.56,"1,091"
OR,2020-12-09,"4,879",75.32,"6,478",686,10.59,521,67.66,770
PA,2020-12-09,"25,686",79.47,"32,321","6,799",21.28,"3,349",83.1,"4,030"
RI,2020-12-09,"1,800",84.79,"2,123",529,24.92,140,85.37,164
SC,2020-12-09,"8,194",84.29,"9,721","1,191",12.25,"1,040",82.47,"1,261"
SD,2020-12-09,"1,531",64.98,"2,356",463,19.65,178,72.65,245
TN,2020-12-09,"12,581",76.09,"16,534","2,677",16.68,"1,868",85.57,"2,183"
TX,2020-12-09,"48,390",77.14,"63,024","9,626",15.31,"6,544",90.13,"7,261"
UT,2020-12-09,"3,107",59.59,"5,214",545,10.45,492,78.1,630
VA,2020-12-09,"12,159",71.11,"17,099","1,957",11.45,"1,442",72.57,"1,987"
VT,2020-12-09,680,57.92,"1,174",23,1.96,65,63.73,102
WA,2020-12-09,"8,646",68.85,"12,557","1,149",9.15,913,70.28,"1,299"
WV,2020-12-09,"3,931",77.75,"5,056",714,14.12,496,81.31,610
WY,2020-12-09,699,49.26,"1,419",198,14.06,73,57.94,126
WI,2020-12-09,"8,330",67.19,"12,397","1,760",14.51,"1,038",64.71,"1,604"
