state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2021-01-18,"510,911",72.61,"703,682","126,619",18.08,"67,829",77.06,"88,024"
AK,2021-01-18,725,50.14,"1,446",55,3.8,76,60.32,126
AL,2021-01-18,"10,672",76.5,"13,951","2,891",20.72,"1,571",96.44,"1,629"
AR,2021-01-18,"5,254",69.3,"7,582","1,208",15.99,811,76.15,"1,065"
AZ,2021-01-18,"11,139",75.58,"14,738","4,679",31.8,"1,701",73.45,"2,316"
CA,2021-01-18,"51,896",81.07,"64,010","20,763",32.44,"7,850",90.22,"8,701"
CT,2021-01-18,"6,017",77.75,"7,739","1,268",16.38,633,59.89,"1,057"
DC,2021-01-18,"2,364",79.92,"2,958",356,12.04,260,84.42,308
DE,2021-01-18,"1,852",72.15,"2,567",468,18.23,161,84.74,190
FL,2021-01-18,"41,182",78.93,"52,176","8,018",15.66,"5,218",81.54,"6,399"
GA,2021-01-18,"16,187",83.9,"19,293","5,899",30.58,"2,572",92.75,"2,773"
ID,2021-01-18,"1,750",57.26,"3,056",275,9.0,195,65.88,296
IN,2021-01-18,"10,209",62.39,"16,362","2,295",14.03,"1,500",70.0,"2,143"
KS,2021-01-18,"4,387",56.33,"7,788",846,10.86,597,75.28,793
LA,2021-01-18,"8,954",70.55,"12,692","1,628",13.06,"1,432",78.42,"1,826"
MA,2021-01-18,"11,959",78.77,"15,183","1,984",13.07,"1,160",78.8,"1,472"
MD,2021-01-18,"7,900",81.27,"9,721","2,114",21.75,"1,024",77.11,"1,328"
ME,2021-01-18,"1,958",68.56,"2,856",225,7.88,235,71.43,329
MI,2021-01-18,"14,555",71.03,"20,491","2,081",10.16,"1,880",72.56,"2,591"
CO,2021-01-18,"6,191",60.94,"10,160",888,8.74,801,60.18,"1,331"
HI,2021-01-18,"1,740",70.19,"2,479",135,5.45,134,61.19,219
IA,2021-01-18,"4,554",59.07,"7,709",520,6.84,447,66.72,670
IL,2021-01-18,"18,788",64.69,"29,041","3,371",11.61,"2,139",61.17,"3,497"
KY,2021-01-18,"7,327",59.72,"12,269","1,665",13.57,"1,200",68.1,"1,762"
MN,2021-01-18,"6,643",69.64,"9,539",701,7.35,615,68.49,898
MO,2021-01-18,"10,777",73.9,"14,584","2,310",15.84,"1,456",81.66,"1,783"
MS,2021-01-18,"5,033",64.33,"7,824","1,264",16.16,732,84.82,863
MT,2021-01-18,"1,704",59.64,"2,857",172,6.02,131,61.79,212
NC,2021-01-18,"16,500",76.54,"21,557","3,872",18.07,"2,091",83.74,"2,497"
ND,2021-01-18,"1,327",64.42,"2,060",160,7.77,129,62.32,207
NE,2021-01-18,"2,489",64.9,"3,835",446,11.88,345,61.28,563
NH,2021-01-18,"1,888",68.06,"2,774",253,9.12,166,58.66,283
NJ,2021-01-18,"14,488",68.93,"21,019","3,618",17.21,"1,593",53.65,"2,969"
NM,2021-01-18,"2,657",72.73,"3,653",714,19.55,369,77.68,475
NV,2021-01-18,"5,751",76.99,"7,470","1,683",23.12,795,85.12,934
NY,2021-01-18,"35,598",73.46,"48,456","10,135",20.92,"3,807",70.18,"5,425"
OH,2021-01-18,"19,540",68.8,"28,401","4,103",14.48,"2,876",70.32,"4,090"
OK,2021-01-18,"6,598",68.71,"9,602","1,881",19.92,976,89.05,"1,096"
OR,2021-01-18,"4,509",68.55,"6,578",418,6.35,462,59.84,772
PA,2021-01-18,"23,357",77.56,"30,115","4,994",16.77,"2,965",78.19,"3,792"
RI,2021-01-18,"2,033",99.75,"2,038",416,20.41,149,89.22,167
SC,2021-01-18,"8,094",81.33,"9,952","2,283",22.94,"1,101",81.37,"1,353"
SD,2021-01-18,"1,323",56.85,"2,327",195,8.38,134,56.78,236
TN,2021-01-18,"12,165",68.32,"17,806","2,712",15.65,"1,801",75.61,"2,382"
TX,2021-01-18,"45,274",74.14,"61,064","14,288",23.47,"7,160",91.06,"7,863"
UT,2021-01-18,"2,878",54.86,"5,246",621,11.84,421,67.47,624
VA,2021-01-18,"11,883",72.34,"16,426","2,981",18.15,"1,475",75.56,"1,952"
VT,2021-01-18,723,61.43,"1,177",46,3.91,63,61.17,103
WA,2021-01-18,"8,358",69.11,"12,093",958,7.92,948,72.31,"1,311"
WV,2021-01-18,"3,744",75.26,"4,975",669,13.45,502,81.36,617
WY,2021-01-18,547,38.15,"1,434",106,7.46,52,40.94,127
WI,2021-01-18,"7,470",59.51,"12,553",988,8.04,918,57.05,"1,609"
